Q96MF0	Q96MF0
P9WF13	P9WF19
P9WIM7	P9WIM7
P9WJB9	P9WJB9
P9WKT7	P9WKT7
P9WLW5	P9WLW5
P9WN99	P9WN99
P9WN99	P9WN97
P9WNQ3	P9WNQ3
P9WQ17	P9WQ17
Q00828	Q00828
Q01344	Q01344
Q02770	Q02770
Q03388	Q03388
Q03660	Q03660
Q03774	Q03774
Q05949	Q05949
Q06466	Q06466
Q06686	Q06686
Q07845	Q07845
Q08023	Q08023
Q08521	Q08521
Q08919	Q08919
Q08919	Q08693
Q0VBF8	Q0VBF8
Q0VBF8	Q69YW2
Q0VGL1	Q0VGL1
Q0VGL1	Q8CF66
Q10443	Q10443
Q12004	Q12004
Q12057	Q12057
Q12348	Q12348
Q12513	Q12513
Q12768	Q12768
Q12768	Q9VUY8
Q12768	Q8C2E7
Q12888	Q12888
Q14157	Q14157
Q14157	Q5T6F2
Q14157	Q80X50
Q14157	Q86S05
Q14157	Q91VX2
Q14657	Q14657
Q14657	Q9CR70
Q14657	P78358
Q19337	Q19337
Q19337	Q9NRC1
Q19337	Q2IBD0
Q19337	Q99M96
Q19337	Q8TDW4
Q20952	Q20952
Q20952	Q9UEY8
Q20952	Q02645
Q20952	Q05764
Q20952	P35612
Q20952	Q9QYB5
Q20952	Q9QYB8
Q20952	Q9QYC0
Q20952	Q9U9K0
Q20952	Q63028
Q22472	Q22472
Q24141	Q24141
Q3ECH5	Q3ECH5
Q3MIF4	Q3MIF4
Q3MIF4	O75191
Q3MIF4	Q3TNA1
Q3MIF4	P42826
Q3TEI4	Q3TEI4
Q3TEI4	Q6ZRI6
Q3U2K0	Q3U2K0
Q3U2K0	Q96PV7
Q3U2K0	Q8CGI1
Q4J8Q7	Q4J8Q7
Q4JB45	Q4JB45
Q4JB45	P73315
Q4JB45	Q9CPR4
Q4JB45	P24049
Q4JB45	P18621
Q4JB45	P0C446
Q4JB45	A4FPM0
Q4JB45	Q59TE0
Q4JB45	O14339
Q4JB45	P05740
Q4JB45	O48557
Q4JB45	P75575
Q4JB45	P9WHC1
Q4JB45	Q83PY5
Q4JB45	P61177
Q4JB45	P61175
Q4JB45	Q9BL19
Q4JB45	A0QSD6
Q4JB45	Q9HE25
Q4JB45	P46990
Q4JB45	Q9W3W8
Q4JB45	O59794
Q4KM77	Q4KM77
Q4KM77	O14681
Q4V7A4	Q4V7A4
Q4V7A4	Q5H9T9
Q4V7A4	A1EGX6
Q4V8C2	Q4V8C2
Q4V8C2	O43264
Q4V8C2	O54692
Q53RT3	Q53RT3
Q55356	Q55356
Q59R32	Q59R32
Q59XY0	Q59XY0
Q59XY0	Q8C5N3
Q59XY0	Q08C72
Q59XY0	P53333
Q59XY0	Q9VJ87
Q59XY0	Q9P6R9
Q59XY0	Q17336
Q5ADS3	Q5ADS3
Q5AJF7	Q5AJF7
Q5AJF7	Q9FF52
Q5AJF7	P0CT83
Q5AJF7	P0CT83
Q5AJF7	P0CT84
Q5AJF7	P0CT84
Q5AJF7	P61866
Q5AJF7	Q9LFH5
Q5AJF7	P30050
Q5AJF7	P35979
Q5AJF7	Q9C285
Q5AJF7	P23358
Q5AJF7	P0CX54
Q5AJF7	P0CX53
Q5AJF7	P50883
Q5BK07	Q5BK07
Q5BK07	Q9CR29
Q5BK07	Q9CR29
Q5BK07	Q96MW1
Q6PJN8	Q6PJN8
Q6PJN8	Q5D0E6
Q6Q788	Q6Q788
Q6Q788	Q9QUH3
Q6Q788	Q8C7G5
Q6ZTZ1	Q6ZTZ1
Q7Z6A9	Q7Z6A9
Q7Z6A9	Q7TSA3
Q83QD0	Q83QD0
Q8BG79	Q8BG79
Q8BG79	Q09909
Q8BG79	Q9VXT5
Q8BG79	Q2TBE0
Q8BGV9	Q8BGV9
Q8BGV9	P53867
Q8BGV9	A0A0G2QC33
Q8BGV9	Q96DT6
Q8BGV9	Q9U1N6
Q8BGV9	K8ESC5
Q8BGV9	Q9M1Y0
Q8BGV9	Q86TL0
Q8BGV9	Q8BGE6
Q8BGV9	Q8WYN0
Q8BGV9	Q811C2
Q8BGV9	Q9Y4P1
Q8BGV9	A3LQU0
Q8BHT7	Q8BHT7
Q8BHT7	Q92546
Q8BKU8	Q8BKU8
Q8BKU8	Q96K49
Q8BKU8	Q8BXN9
Q8BPI1	Q8BPI1
Q8BPI1	Q0E9G3
Q8BPI1	Q5FVL7
Q8BPI1	Q9NVR5
Q8BVM7	Q8BVM7
Q8BVM7	Q6AY08
Q8BVM7	Q96Q35
Q8C525	Q8C525
Q8C525	Q8IYB1
Q8CAF4	Q8CAF4
Q8I4M5	Q8I4M5
Q8IUC6	Q8IUC6
Q8IUC6	Q86XR7
Q8IUC6	Q80UF7
Q8IWA4	Q8IWA4
Q8IWA4	Q80U63
Q8IWA4	Q811U4
Q8IWA4	Q8R4Z9
Q8IWA4	Q8R500
Q8IWA4	O95140
Q8IWA4	Q23424
Q8IWA4	Q7YU24
Q8IWV7	Q8IWV7
Q8IWV7	O70481
Q8IWV7	Q6WKZ8
Q8IWV7	Q8IWV8
Q8IWV7	Q9VX91
Q8IYF3	Q8IYF3
Q8IYF3	Q14AT2
Q8IYU8	Q8IYU8
Q8IYU8	Q9CTY5
Q8IYU8	Q86XE3
Q8K561	Q8K561
Q8K561	Q7RTU9
Q8K561	Q7RTW8
Q8K561	A6NGW2
Q8N878	Q8N878
Q8N878	Q8C0V9
Q8NBC4	Q8NBC4
Q8NCS7	Q8NCS7
Q8NCS7	B4F795
Q8NCS7	Q94AN2
Q8NCS7	F1S584
Q8NCS7	Q8BY89
Q8NCS7	Q8IWA5
Q8NCS7	Q12412
Q8NCS7	Q53GD3
Q8QZY2	Q8QZY2
Q8QZY2	Q8IVS8
Q8QZY2	Q0VGK3
Q8R138	Q8R138
Q8R138	Q4V9L6
Q8R1M0	Q8R1M0
Q8R1M0	Q96FZ2
Q8SWR8	Q8SWR8
Q8SWR8	Q94AM9
Q8SWR8	Q9USW1
Q8SWR8	Q7TQH0
Q8SWR8	Q8WWM7
Q8SWR8	O70305
Q8SWR8	P53297
Q8VCS3	Q8VCS3
Q8VCS3	Q5MJS3
Q8VCS3	Q96MK3
Q8VCS3	O75063
Q8VCS3	Q8CID3
Q8VCS3	Q9XTW2
Q8VCS3	Q8IXL6
Q8VDB2	Q8VDB2
Q8VDB2	Q9BV10
Q8VDB2	P53730
Q8VDB2	Q9VH78
Q8VHF2	Q8VHF2
Q8VHF2	Q9JIK1
Q8VHF2	Q9HBB8
Q8N960	Q8N960
Q8N960	Q7TSG1
Q8NCW6	Q8NCW6
Q8NCW6	Q10472
Q8NCW6	O45947
Q8NCW6	Q7TT15
Q8NCW6	Q8K1B9
Q8NCW6	Q6P6V1
Q8NCW6	Q6P9A2
Q8NCW6	Q8C102
Q8NCW6	Q8CF93
Q8NCW6	Q921L8
Q8NCW6	Q96FL9
Q8NCW6	Q14435
Q8NCW6	Q9VUT6
Q8NCW6	Q8N4A0
Q8NCW6	Q7K755
Q8NCW6	O08912
Q8NCW6	Q7Z7M9
Q8NCW6	Q86SF2
Q8NCW6	Q9R0C5
Q8NCW6	Q9HCQ5
Q8NCW6	O88422
Q8NCW6	Q6IS24
Q8NCW6	Q7Z4T8
Q8NCW6	Q8BGT9
Q8NCW6	Q8N3T1
Q8NCW6	Q80VA0
Q8NCW6	Q9D2N8
Q8NCW6	Q9D4M9
Q8NCW6	Q86SR1
Q8NCW6	Q49A17
Q8NCW6	Q9NY28
Q8NCW6	Q8IXK2
Q8NCW6	Q10471
Q8NDZ2	Q8NDZ2
Q8NDZ2	E9Q6E9
Q8NDZ2	F1LWT0
Q8NHS9	Q8NHS9
Q8R0J8	Q8R0J8
Q8R0J8	Q9SLE0
Q8R0J8	Q03786
Q8R0J8	Q10242
Q8R4A3	Q8R4A3
Q8R4A3	Q0PHV7
Q8R4A3	Q96B18
Q8R4A3	Q9NYF0
Q8R4A3	Q7TN08
Q8R4A3	Q5SW24
Q8TCI5	Q8TCI5
Q8VC12	Q8VC12
Q8VC12	Q96N76
Q8VCG9	Q8VCG9
Q8VCG9	O00287
Q8VDG3	Q8VDG3
Q8VDG3	Q7ZU92
Q8VDG3	O95453
Q8VE09	Q8VE09
Q8X8H0	Q8X8H0
Q8X8H0	P0A6P7
Q8X8H0	Q9HT81
Q8X8H0	Q05473
Q8X8H0	Q83PF4
Q8X8H0	Q9CY28
Q8X8H0	Q8N3Z3
Q8Y766	Q8Y766
Q91V83	Q91V83
Q91V83	O43156
Q91WI7	Q91WI7
Q91WI7	Q969R8
Q91XD6	Q91XD6
Q91XD6	Q86VN1
Q91XD6	Q9FF81
Q91ZV7	Q91ZV7
Q91ZV7	Q8IUK5
Q91ZV7	Q9DC11
Q924S9	Q924S9
Q924S9	Q2WG77
Q969V3	Q969V3
Q969V3	Q8VCM8
Q969V3	Q5XIA1
Q96A49	Q96A49
Q96A49	Q9D5V6
Q96A49	Q960T2
Q96DM3	Q96DM3
Q9GS00	Q9GS00
Q9H0U6	Q9H0U6
Q9H0U6	Q9CQL5
Q9H5Q4	Q9H5Q4
Q9H6J7	Q9H6J7
Q9H6J7	Q5M9F0
Q9H6J7	Q8BHR8
Q9HCK1	Q9HCK1
Q9HCK1	Q5SS00
Q9HGN2	Q9HGN2
Q9JIH2	Q9JIH2
Q9JIH2	O08587
Q9JIH2	Q7K0D8
Q9JIH2	Q9UKX7
Q9JJB9	Q9JJB9
Q9JJB9	Q8IXX5
Q9JJB9	Q1AE95
Q9NIP6	Q9NIP6
Q9NP84	Q9NP84
Q9NP84	Q9CR75
Q9NR45	Q9NR45
Q9NR45	Q9VG74
Q9NR45	Q99J77
Q9NV88	Q9NV88
Q9NWM3	Q9NWM3
Q9P0U1	Q9P0U1
Q9QVY8	Q9QVY8
Q9QVY8	Q9Y5P3
Q9QVY8	A7XYI6
Q9QVY8	A7XYQ1
Q9QVY8	Q0P5V2
Q9SAR0	Q9SAR0
Q9SAR0	P24298
Q9SAR0	P18485
Q9SAR0	Q9S7E9
Q9SAR0	P52892
Q9SAR0	Q4AC99
Q9SAR0	Q96QU6
Q9SAR0	Q06402
Q9SAR0	P52893
Q9SAR0	Q9SIV0
Q9SAR0	Q9SNN8
Q9SAR0	Q37001
Q9SAR0	Q8QZR1
Q9SAR0	Q9LVY1
Q9SAR0	P47039
Q9SAR0	Q9LR30
Q9SAR0	Q71RI9
Q9SAR0	Q9S9U6
Q9SAR0	P17735
Q9SAR0	Q6YP21
Q9SAR0	Q9LQ10
Q9SAR0	Q9SK47
Q9SAR0	P0A961
Q9SAR0	P04694
Q9SAR0	Q16773
Q9SAR0	Q3UX83
Q9SAR0	Q9LDV4
Q9SAR0	Q8TD30
Q9SAR0	F4I7I0
Q9SAR0	Q8BTY1
Q9SAR0	Q9SUR6
Q9SAR0	Q9M2Y8
Q9SAR0	A2AIG8
Q9T2L0	Q9T2L0
A8IB22	A8IB22
E5RQL4	E5RQL4
F4I9E1	F4I9E1
F4K200	F4K200
G2TRM5	G2TRM5
G5EFY7	G5EFY7
M9NE38	M9NE38
O14032	O14032
O14032	Q969T9
O14032	Q9D529
O14926	O14926
O14926	Q16658
O14926	Q05634
O14926	Q61553
O14926	P85845
O14926	Q32M02
O59673	O59673
O60519	O60519
O65583	O65583
O65583	Q8Y4B3
O65583	O24621
O65583	Q12084
O65583	Q9LD95
O65583	P26302
O65583	Q9M336
O65583	P78022
O65583	P00579
O65583	P39149
O65583	Q980Q4
O65583	O74427
O65583	P0A8F3
O65583	P0A8F2
O65583	P0A8F7
O65583	P0A8F4
O65583	Q9C9B9
O65583	P25697
O65583	O24629
O65583	B1AVZ0
O65583	P18562
O65583	P37101
O65583	Q96BW1
O65583	P52623
O65583	Q5HE88
O65583	Q5HFJ9
O65583	O22056
O65583	P9WGI1
O65583	Q91YL3
O65583	Q9NWZ5
O65583	Q9FKS0
O65583	Q9C664
O65583	Q9ZNX9
O65583	O32033
O65583	Q9QYG8
O65583	Q99PM9
O65583	P06224
O65583	P26480
O65583	P27515
O65583	Q9LK34
O65583	Q17413
O74380	O74380
O94302	O94302
O94405	O94405
O95711	O95711
Q9UHN1	Q9UHN1
Q9UL01	Q9UL01
Q9UL01	Q0VBN2
Q9UL01	Q8BLI4
Q9USS8	Q9USS8
Q9USS8	Q03508
Q9VMA7	Q9VMA7
Q9VYQ5	Q9VYQ5
Q9W3N6	Q9W3N6
Q9W3N6	P25386
Q9W3N6	P41542
Q9W3N6	Q9Z1Z0
Q9W3N6	B0F9L4
Q9XZ34	Q9XZ34
Q9XZ34	Q5UIP0
Q9Y5Z4	Q9Y5Z4
Q9Z2W0	Q9Z2W0
Q9Z2W0	P14904
Q9Z2W0	P38821
A5DCP8	A5DCP8
A5DCP8	P36102
A5DCP8	Q95RR8
P0C092	P0C092
P0C853	P0C853
P0CX81	P0CX81
P0CX81	P0CX80
P0DKC1	P0DKC1
P0DKC1	P0DKC0
P0DKC1	O23144
P12265	P12265
P12265	P08236
P14198	P14198
P23506	P23506
P23506	P22061
P23506	P22062
P23506	P80895
P23506	Q42539
P24387	P24387
P25350	P25350
P34292	P34292
P34292	P34553
P38785	P38785
P38785	Q06648
P39990	P39990
P39990	P49692
P39990	Q9D0T1
P39990	P55769
P39990	P55770
P39990	Q9NX24
P39990	P29453
P39990	Q9CRB2
P39990	Q9P7H0
P39990	Q5ANA1
P39990	Q9LEY9
P39990	P17076
P39990	Q9V3U2
P39990	Q9LZH9
P39990	P62424
P39990	P62425
P39990	A0A1D8PF11
P39990	P12970
P39990	P32495
P39990	O13672
P39990	P46223
P39990	Q9XXD4
P40355	P40355
P40355	P36044
P45434	P45434
P46557	P46557
P47022	P47022
P47182	P47182
P47182	B8ASB2
P47182	Q06494
P47182	P43547
P47182	P25612
P47182	P49249
P47182	Q9P7U2
P47182	G2TRN6
P47182	O94315
P47182	Q94A68
P47182	Q8CG45
P47182	P25906
P47182	P38918
P47182	P42884
P47182	Q8CG76
P47182	A2XRZ0
P47182	A2XRZ6
P47182	O43488
P47182	Q07747
P47182	Q8NHP1
P47182	Q9ASZ9
P47182	O14125
P47182	O14295
P47182	O95154
P48539	P48539
P48539	Q6W8Q3
P48539	A6NKN8
P48539	P63054
P48539	P63055
P50110	P50110
P51861	P51861
P54315	P54315
P54315	P02843
P54315	P02844
P54315	P06607
P54315	Q8WWY8
P54315	P27656
P54315	Q9WVG5
P54315	P11150
P54315	P11152
P54315	P16233
P54315	Q17RR3
P54315	Q9Y5X9
P54315	P06858
P54315	P17892
P54315	P54316
P54315	P07867
P54315	Q6XZB0
P61841	P61841
P61841	Q5AG43
P61841	P02359
P61841	P66608
P61841	P66607
P61841	P66611
P61841	Q9Y2R9
P61841	P51427
P61841	Q9P3T6
P61841	P97461
P61841	P46782
P61841	Q9ZUT9
P61841	O13744
P61841	Q9VFE4
P61841	P24050
P61841	P47150
P61841	Q24186
P61841	A1KGG3
P61841	P49041
P61841	O14277
P61841	P74229
P61841	Q5HIC9
P61841	B0VTG4
P61841	P26783
P61841	P12339
P61841	P21469
P61841	Q97EH3
P79058	P79058
P79058	P56211
P79058	P56212
P79058	Q28055
P79058	Q712U5
P79058	Q712U6
P79058	P68210
P79058	P68211
P79058	P60840
P79058	P60841
P79058	Q1L8X2
P79058	Q9P305
P79058	P53897
P79058	Q7ZXH9
P79058	Q6DEB4
P87313	P87313
P87313	Q4G009
P87313	Q9W445
P87313	P89886
P87313	Q9ULC4
Q96247	Q96247
Q96247	Q9LFB2
Q96IK0	Q96IK0
Q96M19	Q96M19
Q96T53	Q96T53
Q96T53	P0C7A3
Q99K23	Q99K23
Q99K23	Q9STL8
Q99K23	Q9VUR0
Q99K23	Q9NUQ7
Q99K23	Q0INW1
Q9BQ08	Q9BQ08
Q9BV90	Q9BV90
Q9C5M1	Q9C5M1
Q9C7N2	Q9C7N2
Q9C7N2	Q9SGN6
Q9C7N2	Q9STW5
Q9CPV1	Q9CPV1
Q9CPV1	B0BN28
Q9CPV1	Q96BD8
Q9CQL2	Q9CQL2
Q9CQL2	Q8TC90
Q9CY00	Q9CY00
Q9CY00	B2RYD6
Q9CY00	A2AKQ8
Q9CY00	Q99J38
Q9D4W2	Q9D4W2
Q9D4W2	Q96LI9
Q9D9P2	Q9D9P2
Q9D9P2	Q8IW40
Q9EQC1	Q9EQC1
Q9EQC1	P22072
Q9EQC1	P51102
Q9EQC1	O35048
Q9EQC1	Q15738
Q9EQC1	O81312
Q9EQC1	Q9M0B6
Q9EQC1	Q9H2F3
Q9EQC1	Q5PPL3
Q9EQC1	Q61694
Q9EQC1	G7IYC1
Q9EQC1	P26149
Q9EQC1	P26150
Q9EQC1	Q9R1J0
Q9EQC1	P27364
Q9EQC1	O35469
Q9EQC1	Q9LPC1
Q9EQC1	Q9LIS3
Q9EQC1	P14060
Q9EQC1	Q9UT59
Q9EQC1	P83775
Q9EQC1	O94563
Q9EQC1	P26439
Q9EQC1	Q9S9N9
Q9EQC1	Q9CA28
Q9EQC1	A6NKP2
Q9EQC1	O22133
Q9EQC1	P53183
Q9EQC1	A9X4U2
Q9EQC1	P24815
Q9EQC1	Q12068
Q9EQC1	Q61767
Q9EQC1	O22141
Q9EQC1	Q9STI6
Q9EQC1	P22071
Q9FFD8	Q9FFD8
Q9FHI7	Q9FHI7
Q9FI44	Q9FI44
Q9FIH5	Q9FIH5
Q9FIH5	Q8RXL8
Q9FIH5	Q9LU76
Q9FIH5	Q9FDZ5
Q9FIH5	Q9SZ96
Q9FLE9	Q9FLE9
Q9FLE9	Q9LXG5
Q9FUJ3	Q9FUJ3
Q9FUJ3	O22213
Q9FUJ3	Q9LTS3
Q9FW44	Q9FW44
Q9FW44	Q9LZ25
Q9FW44	Q9SZA7
Q9FW44	Q9FKZ0
Q9FW44	Q9FKZ1
Q9LF38	Q9LF38
Q9LMM6	Q9LMM6
Q9LQ73	Q9LQ73
Q9LQ73	O80845
Q9LT84	Q9LT84
Q9LV04	Q9LV04
Q9LVG9	Q9LVG9
Q9LVG9	Q9SVM0
Q9LVG9	Q9SKH2
Q9LVG9	Q9CAJ9
Q9LZM7	Q9LZM7
Q704S8	Q704S8
Q704S8	P52825
Q704S8	P23786
Q704S8	Q03059
Q704S8	P32198
Q704S8	Q924X2
Q704S8	Q9UKG9
Q704S8	P97742
Q704S8	Q9DC50
Q704S8	P47934
Q704S8	P18886
Q704S8	F1LN46
Q704S8	P50416
Q704S8	P07668
Q704S8	Q63704
Q704S8	P28329
Q704S8	Q92523
Q704S8	P11466
Q704S8	P80235
Q704S8	P32796
Q704S8	P32738
Q72I33	Q72I33
Q72I33	Q9NRX2
Q72I33	Q9CDY4
Q72I33	O86775
Q72I33	P0AG46
Q72I33	Q5HDY5
Q72I33	Q9M385
Q72I33	P20277
Q72I33	P9WHD3
Q72I33	P9WHD2
Q72I33	Q9D8P4
Q765I1	Q765I1
Q765I1	Q765I0
Q78WZ7	Q78WZ7
Q78WZ7	Q3B726
Q7K486	Q7K486
Q7K486	Q6NXE6
Q7TQ32	Q7TQ32
Q7TQ32	Q96B86
Q7TQ32	Q6ZVN8
Q7TSV9	Q7TSV9
Q7TSV9	Q9H0I2
Q7Z7H3	Q7Z7H3
Q83LY1	Q83LY1
Q83LY1	Q9SJM7
Q83QN4	Q83QN4
Q83QN4	Q45582
Q86WR7	Q86WR7
Q86WR7	Q8C5R2
Q86Y37	Q86Y37
Q86Y37	Q8R0X2
Q8BFY7	Q8BFY7
Q8BFY7	Q9BSJ6
Q8BFY7	Q9BSJ6
Q8BL00	Q8BL00
Q8BL00	Q6ZTQ4
Q8BND4	Q8BND4
Q8BND4	Q5JSJ4
Q8BND4	Q8NHU0
Q8BND4	P0DMU8
Q8BND4	Q5HYN5
Q8BND4	P0DMU7
Q8BND4	P0DMV0
Q8BND4	P0DMV2
Q8BND4	Q5DJT8
Q8BND4	P0DMV1
Q8BND4	Q6PCM2
Q8BND4	Q9W485
Q8BND4	A6NJ88
Q8BND4	Q9NXZ1
Q8BND4	Q9UL03
Q8BND4	P0DMU9
Q8BUY5	Q8BUY5
Q8BUY5	Q9NPL8
Q8BUY5	P81928
Q8BVQ5	Q8BVQ5
Q8BVQ5	Q4FZT2
Q8BVQ5	Q9Y570
Q8BVQ5	Q8R431
Q8BWP8	Q8BWP8
Q8C5C9	Q8C5C9
Q8I659	Q8I659
Q8IUF1	Q8IUF1
Q8IUF1	P53729
Q8IUF1	Q9BRT8
Q8IUF1	Q5JTY5
Q8IUF1	P94400
Q8IUF1	Q4V339
Q8IWB9	Q8IWB9
Q8IWB9	Q6ZPJ0
Q9D7H3	Q9D7H3
Q9D7H3	O00442
Q9D845	Q9D845
Q9D845	Q8N6V9
Q9DAA7	Q9DAA7
Q9DF50	Q9DF50
Q9DF50	Q80YR7
Q9DF50	Q8IRB5
Q9DF50	Q9HAW4
Q9ER99	Q9ER99
Q9ER99	Q92681
Q9ERR7	Q9ERR7
Q9ERR7	Q923V8
Q9FRK5	Q9FRK5
Q9H0E3	Q9H0E3
Q9H3Y8	Q9H3Y8
Q9H3Y8	Q5PR01
Q9H3Y8	Q9CR37
Q9HBH7	Q9HBH7
Q9HBH7	Q3MKQ2
Q9HBH7	Q9WTZ8
Q9HBH7	Q9R224
Q9HBH7	Q3MKQ1
Q9HD40	Q9HD40
Q9HD40	Q6P6M7
Q9HGM2	Q9HGM2
Q9JIG7	Q9JIG7
Q9JIG7	O60826
Q9JIG7	P86182
Q9JLC8	Q9JLC8
Q9LRB0	Q9LRB0
Q9LRB0	Q12246
Q9LRB0	Q9NYA1
Q9LRB0	Q8TCT0
Q9LRB0	Q49MI3
Q9LRB0	Q53H12
Q9LRB0	F2Y4A3
Q9LRB0	Q06147
Q9LRB0	Q9NRA0
Q9LRB0	Q9ESW4
Q9LRB0	Q9JIA7
Q9LRB0	Q9TZI1
Q9NQ50	Q9NQ50
Q9NRW3	Q9NRW3
Q9NRW3	Q9WV35
Q9NRW3	Q9WVE0
Q9NRW3	P51908
Q9NRW3	Q6NTF7
Q9NRW3	Q8IUX4
Q9NRW3	Q9UH17
Q9NRW3	P41238
Q9NRW3	Q9GZX7
Q9NRW3	Q96AK3
Q9NRW3	Q9HC16
Q9NRW3	P60705
Q9NRW3	Q9Y235
Q9NVR7	Q9NVR7
Q9NYP8	Q9NYP8
Q9NYP8	Q9D4G1
Q9NZ20	Q9NZ20
Q9NZL9	Q9NZL9
Q9NZL9	Q5U2R0
Q9NZL9	Q99LB6
Q9P0T7	Q9P0T7
Q9P0T7	Q9VNA4
Q9P0T7	Q9JJR8
Q9P0T7	Q9NQ34
Q9P4X4	Q9P4X4
Q9P4X4	P32602
Q9P4X4	P85969
Q9P4X4	Q23983
Q9P4X4	Q9H115
Q9P4X4	P28663
Q9P4X4	Q9SPE6
Q9P4X4	P54920
Q9P4X4	Q9LXZ5
Q9P4X4	Q9DB05
Q9P4X4	P54921
Q9SAF6	Q9SAF6
Q9SAF6	Q0DY81
Q9SAF6	F4HRT5
Q9SAF6	Q9CA42
Q9T2K9	Q9T2K9
Q9UBB4	Q9UBB4
Q9UBB4	P28658
Q9UBB4	Q9ER24
Q9UBB4	P25355
Q9UTA5	Q9UTA5
Q9UTA5	Q8BSA9
Q9UTA5	P53177
Q9UTA5	Q6IPR3
Q9UUA4	Q9UUA4
Q9VEX0	Q9VEX0
Q9VEX0	Q797B3
Q9VEX0	Q8VI60
Q9VEX0	Q8CFG0
Q9VEX0	Q8IWU5
Q9VEX0	Q8IWU6
Q9VEX0	P15586
Q9VEX0	P54496
Q9VI55	Q9VI55
Q9VI55	O94874
Q9VI55	A1A4I9
Q9VI55	Q8CCJ3
Q9VI55	B2GV24
Q9VPE4	Q9VPE4
Q9VR89	Q9VR89
Q9VR89	Q9NRX1
Q9VR89	Q9CPS7
Q9VR89	O14044
Q9VR89	Q99216
Q9VUF8	Q9VUF8
Q9W1V6	Q9W1V6
Q9Y234	Q9Y234
Q9Y234	O13629
Q9Y234	Q8VCM4
Q9Y234	P47051
Q9Y234	P75394
Q9Y2Y6	Q9Y2Y6
Q9Y2Y6	Q91X86
Q9Y3A0	Q9Y3A0
Q9Y3A0	Q8BGB8
Q9Y3A0	Q4FZU1
Q9Y6X2	Q9Y6X2
Q9Y6X2	O54714
Q9Y6X2	Q04195
Q9Y6X2	Q6P1E1
Q9Y6X2	O75925
Q9Y6X2	Q94361
Q9Y6X2	F4JYG0
Q9Y6X2	Q8N2W9
Q9Y6X2	Q9ULJ6
Q9Y6X2	Q9JM05
Q9Y6X2	O70260
Q9Y6X2	O88907
Q9Y6X2	Q8CIE2
Q9Y6X2	O75928
Q9Y6X2	O75928
Q9Y6X2	Q12216
Q9Y6X2	Q8NF64
Q9Y6X2	O94451
Q9Y6X2	Q6AZ28
Q9Y6X2	Q8C5D8
Q9Y7S8	Q9Y7S8
Q9Z0F7	Q9Z0F7
Q9Z0F7	Q91ZZ3
Q9Z0F7	O76070
Q9Z0F7	P37840
Q9Z0F7	Q63544
Q9Z0F7	Q16143
Q9Z0F7	P37377
Q9Z0F7	O55042
Q9Z0F7	Q63754
Q9Z2L6	Q9Z2L6
Q9Z2L6	Q9UNW1
O74866	O74866
O74866	Q03778
O76612	O76612
O82155	O82155
O82155	O80928
O82155	Q9M161
O82155	Q9SUB1
O82155	Q9ZPY0
O82155	Q9ZV33
O82155	Q9FM03
O82155	Q9SVC5
O82155	Q9LSL6
O82155	Q43385
O82155	Q9SEZ3
O88310	O88310
O88310	Q8WWA0
O89042	O89042
O89042	P95690
O89042	P26019
O89042	P09884
O89042	P13382
O89042	Q9FHA3
O89042	O48653
O89042	P28040
O89042	Q07635
O89042	P33609
O89042	P26811
O94301	O94301
O94301	Q12060
P05767	P05767
