id,psp_length,pdb_structure_length,length_matches
A0A494BBH0,399,399,True
A0A571BF63,1286,1286,True
A0A5F8MPU3,2282,2282,True
A0AUP1,442,442,True
A0AUZ9,987,987,True
A0AV02,714,714,True
A0AV96,593,593,True
A0AVF1,554,554,True
A0AVI2,2057,2057,True
A0AVI4,362,362,True
A0AVK6,867,867,True
A0AVT1,1052,1052,True
A0FGR8,921,921,True
A0FGR9,886,886,True
A0FK58,321,321,True
A0FKI7,506,506,True
A0JLT2,244,244,True
A0JN27,396,396,True
A0JN29,376,376,True
A0JN30,182,182,True
A0JNC2,989,989,True
A0JNI5,670,670,True
A0JNT9,577,577,True
A0JNU3,564,564,True
A0JNW5,1464,1464,True
A0JNY3,772,772,True
A0JP26,581,581,True
A0JP43,1406,1406,True
A0JPJ0,285,285,True
A0JPM9,259,259,True
A0JPN0,494,494,True
A0JPN3,471,471,True
A0JPN4,596,596,True
A0JPP5,253,253,True
A0JPP6,126,126,True
A0JPP8,512,512,True
A0JPQ3,315,315,True
A0JPQ4,477,477,True
A0JPQ7,397,397,True
A0MQ57,782,782,True
A0MZ66,631,631,True
A0MZ67,633,633,True
A0PJK1,596,596,True
A0PJW6,202,202,True
A0PJW8,107,107,True
A0PJX0,185,185,True
A0PJX2,215,215,True
A0PJX4,238,238,True
A0PJY2,475,475,True
A0PJZ3,443,443,True
A0PK00,339,339,True
A0PK05,275,275,True
A1A4G5,178,178,True
A1A4I1,645,645,True
A1A4J1,780,780,True
A1A4S6,786,786,True
A1A4V9,331,331,True
A1A4Y4,181,181,True
A1A519,330,330,True
A1A535,833,833,True
A1A5B4,782,782,True
A1A5B6,742,742,True
A1A5C7,686,686,True
A1A5D9,508,508,True
A1A5P0,388,388,True
A1A5P2,365,365,True
A1A5P3,337,337,True
A1A5P9,933,933,True
A1A5Q0,549,549,True
A1A5S1,941,941,True
A1A5S3,331,331,True
A1BPI0,243,243,True
A1E959,279,279,True
A1EC95,1252,1252,True
A1EGX6,1074,1074,True
A1IGU4,676,676,True
A1IGU5,675,675,True
A1JVI8,674,674,True
A1KXC4,422,422,True
A1KXE4,195,195,True
A1KZ92,1463,1463,True
A1L014,763,763,True
A1L020,520,520,True
A1L0T0,632,632,True
A1L108,153,153,True
A1L112,384,384,True
A1L130,245,245,True
A1L134,410,410,True
A1L170,272,272,True
A1L188,74,74,True
A1L190,88,88,True
A1L1I3,614,614,True
A1L1J6,608,608,True
A1L1J7,337,337,True
A1L1K6,515,515,True
A1L1K8,411,411,True
A1L1L0,908,908,True
A1L1L3,421,421,True
A1L1L5,589,589,True
A1L317,512,512,True
A1L390,1219,1219,True
A1L3P4,702,702,True
A1L3T7,938,938,True
A1L429,117,117,True
A1L443,756,756,True
A1L453,326,326,True
A1L4H1,1573,1573,True
A1L4K1,749,749,True
A1X283,911,911,True
A1XBS5,289,289,True
A1XQV4,284,284,True
A1Y2K0,555,555,True
A1Y9I9,258,258,True
A1YPR0,619,619,True
A1Z1Q3,425,425,True
A2A288,527,527,True
A2A2Y4,597,597,True
A2A2Z9,1011,1011,True
A2A368,324,324,True
A2A3K4,754,754,True
A2A3L6,582,582,True
A2A3N6,862,862,True
A2A3V1,959,959,True
A2A3V2,341,341,True
A2A432,970,970,True
A2A4F1,281,281,True
A2A4P0,1244,1244,True
A2A4P3,525,525,True
A2A4P5,149,149,True
A2A4U6,679,679,True
A2A542,477,477,True
A2A5F7,1018,1018,True
A2A5K6,1337,1337,True
A2A5N3,607,607,True
A2A5N8,826,826,True
A2A5R2,1792,1792,True
A2A5V3,582,582,True
A2A5X5,502,502,True
A2A5Z6,748,748,True
A2A690,1994,1994,True
A2A699,822,822,True
A2A6A1,1505,1505,True
A2A6C4,690,690,True
A2A6H3,451,451,True
A2A6J4,322,322,True
A2A6P4,185,185,True
A2A6Q5,825,825,True
A2A6T1,465,465,True
A2A761,587,587,True
A2A791,1549,1549,True
A2A799,407,407,True
A2A7B5,1709,1709,True
A2A7Q9,732,732,True
A2A7R1,185,185,True
A2A7S8,1013,1013,True
A2A7V0,737,737,True
A2A7Y5,387,387,True
A2A7Z8,408,408,True
A2A825,258,258,True
A2A863,1818,1818,True
A2A870,1173,1173,True
A2A884,2348,2348,True
A2A891,1682,1682,True
A2A8L1,1946,1946,True
A2A8L5,1898,1898,True
A2A8R0,1397,1397,True
A2A8T1,509,509,True
A2A8T7,201,201,True
A2A8U2,664,664,True
A2A8V9,918,918,True
A2A8Z1,736,736,True
A2A935,1275,1275,True
A2A974,508,508,True
A2A995,729,729,True
A2A9A2,531,531,True
A2A9F4,397,397,True
A2A9R3,556,556,True
A2A9T0,611,611,True
A2AAX3,604,604,True
A2AAY5,908,908,True
A2AB59,869,869,True
A2ABF8,1233,1233,True
A2ABU4,1439,1439,True
A2ABV5,1459,1459,True
A2ACJ2,879,879,True
A2AD83,703,703,True
A2AD93,250,250,True
A2ADI4,785,785,True
A2ADM8,1628,1628,True
A2ADU8,337,337,True
A2ADY9,399,399,True
A2ADZ8,418,418,True
A2AED3,737,737,True
A2AEN9,163,163,True
A2AEV7,629,629,True
A2AF47,2073,2073,True
A2AF53,350,350,True
A2AF73,655,655,True
A2AFR3,1320,1320,True
A2AFS3,1009,1009,True
A2AG06,965,965,True
A2AG10,272,272,True
A2AG50,781,781,True
A2AG58,752,752,True
A2AGB2,545,545,True
A2AGD7,326,326,True
A2AGH6,2190,2190,True
A2AGT5,2032,2032,True
A2AGW5,501,501,True
A2AGX3,565,565,True
A2AH22,1300,1300,True
A2AHC3,1581,1581,True
A2AHG0,700,700,True
A2AHJ4,1799,1799,True
A2AHL1,981,981,True
A2AI05,598,598,True
A2AI08,749,749,True
A2AI14,943,943,True
A2AIG8,502,502,True
A2AIP0,273,273,True
A2AIR5,1135,1135,True
A2AIV2,1811,1811,True
A2AIV8,536,536,True
A2AIW0,432,432,True
A2AJ15,658,658,True
A2AJ88,1352,1352,True
A2AJA9,974,974,True
A2AJB1,534,534,True
A2AJI0,846,846,True
A2AJT4,805,805,True
A2AJT9,711,711,True
A2AJW4,279,279,True
A2AJW5,387,387,True
A2AJX0,620,620,True
A2AK60,313,313,True
A2AKB4,1549,1549,True
A2AKB9,566,566,True
A2AKE7,346,346,True
A2AKK5,416,416,True
A2AKM2,232,232,True
A2AKN5,243,243,True
A2AKX3,2646,2646,True
A2AKY4,1200,1200,True
A2AL36,2334,2334,True
A2ALI5,412,412,True
A2ALK6,899,899,True
A2ALK8,913,913,True
A2ALS5,663,663,True
A2ALU3,278,277,False
A2ALU4,1481,1481,True
A2ALV5,1481,1481,True
A2ALW2,728,728,True
A2ALW5,357,357,True
A2AM05,1397,1397,True
A2AM29,569,569,True
A2AMD0,254,254,True
A2AMM0,362,362,True
A2AMT1,669,669,True
A2AMW4,325,325,True
A2ANU3,258,258,True
A2ANX3,1194,1194,True
A2ANX9,761,761,True
A2AP18,1501,1501,True
A2APB8,745,745,True
A2APF3,636,636,True
A2API8,921,921,True
A2APT9,773,773,True
A2APV2,1086,1086,True
A2APX8,2009,2009,True
A2APY7,343,343,True
A2AQ07,451,451,True
A2AQ14,241,241,True
A2AQ19,715,715,True
A2AQ25,1946,1946,True
A2AQ92,1551,1551,True
A2AQA1,561,561,True
A2AQH4,1781,1781,True
A2AQN4,714,714,True
A2AQP0,1941,1941,True
A2AQW0,1331,1331,True
A2AR02,752,752,True
A2AR50,585,585,True
A2ARA8,1062,1062,True
A2ARI4,951,951,True
A2ARK0,776,776,True
A2ARP1,1436,1436,True
A2ARS0,390,390,True
A2ART2,485,485,True
A2AS89,358,358,True
A2ASI5,1947,1947,True
A2ASJ1,475,475,True
A2ASQ1,1950,1950,True
A2ASU6,311,311,True
A2ASV2,309,309,True
A2ASX1,221,221,True
A2ASZ8,469,469,True
A2AT37,1269,1269,True
A2ATD1,454,454,True
A2ATJ7,307,307,True
A2ATK9,892,892,True
A2ATU0,921,921,True
A2AU37,552,552,True
A2AU83,715,715,True
A2AUC9,606,606,True
A2AUD5,229,229,True
A2AUK5,879,879,True
A2AUM9,1736,1736,True
A2AUQ6,150,150,True
A2AUQ7,319,319,True
A2AUY4,2123,2123,True
A2AUZ7,215,215,True
A2AV25,459,459,True
A2AV41,314,314,True
A2AVJ5,370,370,True
A2AVR2,1279,1279,True
A2AVW3,312,312,True
A2AVZ9,502,502,True
A2AWA9,1064,1064,True
A2AWP8,1280,1280,True
A2AWR3,868,868,True
A2AWR5,660,660,True
A2AWT3,347,347,True
A2AX52,2309,2309,True
A2BDX3,460,460,True
A2BE28,776,776,True
A2BEF2,512,512,True
A2BEI6,360,360,True
A2BFB1,244,244,True
A2BFB2,214,214,True
A2BG91,834,834,True
A2BG95,728,728,True
A2BGJ5,363,363,True
A2BH01,229,229,True
A2BH40,2283,2283,True
A2BHP1,156,156,True
A2BI02,449,449,True
A2BI93,185,185,True
A2CG22,539,539,True
A2CG63,1314,1314,True
A2CG77,442,441,False
A2CI98,653,653,True
A2CJ06,578,578,True
A2IBE0,337,337,True
A2IDD5,438,438,True
A2PYH4,1435,1435,True
A2RRD8,509,509,True
A2RRH5,827,827,True
A2RRP1,2371,2371,True
A2RRU1,738,738,True
A2RRU4,1276,1276,True
A2RRY8,269,269,True
A2RSJ4,1457,1457,True
A2RSQ0,1274,1274,True
A2RSQ1,649,649,True
A2RSX4,306,306,True
A2RSY1,903,903,True
A2RSY6,728,728,True
A2RT67,1274,1274,True
A2RT91,1465,1465,True
A2RTF1,1109,1109,True
A2RTH5,332,332,True
A2RTX5,802,802,True
A2RTY3,570,570,True
A2RU30,521,521,True
A2RU48,225,225,True
A2RU49,373,373,True
A2RU54,273,273,True
A2RU67,622,622,True
A2RUB1,952,952,True
A2RUB6,948,948,True
A2RUC4,315,315,True
A2RUG3,117,117,True
A2RUQ5,167,167,True
A2RUR9,1427,1427,True
A2RUS2,1198,1198,True
A2RUU4,121,121,True
A2RUW0,1122,1122,True
A2RUW1,274,274,True
A2TJT9,756,756,True
A2TJV2,734,734,True
A2VCK2,349,349,True
A2VCN4,346,346,True
A2VCV8,298,298,True
A2VCX1,271,271,True
A2VD11,313,313,True
A2VD12,722,722,True
A2VDF0,154,154,True
A2VDH7,339,339,True
A2VDJ0,1609,1609,True
A2VE81,522,522,True
A3KFX0,365,365,True
A3KG57,261,261,True
A3KG59,431,431,True
A3KG93,873,873,True
A3KGB4,1114,1114,True
A3KGF7,1181,1181,True
A3KGF9,545,545,True
A3KGK3,1992,1992,True
A3KGS3,1872,1872,True
A3KGV1,830,830,True
A3KGW5,592,592,True
A3KMH1,1905,1905,True
A3KMP2,465,465,True
A3KN83,1393,1393,True
A3QJZ6,481,481,True
A3QJZ7,478,478,True
A4D0S4,1761,1761,True
A4D0V7,1026,1026,True
A4D126,451,451,True
A4D161,298,298,True
A4D1B5,854,854,True
A4D1E1,1349,1349,True
A4D1E9,387,387,True
A4D1P6,747,747,True
A4D1S0,409,409,True
A4D1S5,217,217,True
A4D1U4,455,455,True
A4D256,447,447,True
A4D263,438,438,True
A4D2B0,266,266,True
A4D2B8,440,440,True
A4D2F6,549,549,True
A4D2H0,777,777,True
A4D2P6,1211,1211,True
A4FU01,709,709,True
A4FU28,777,777,True
A4FU49,640,640,True
A4FU69,1503,1503,True
A4FUC0,423,423,True
A4FUZ2,716,716,True
A4GTP0,241,241,True
A4GTP4,427,427,True
A4IF79,665,665,True
A4IFA0,679,679,True
A4IFD1,469,469,True
A4L691,331,331,True
A4L9P5,1211,1211,True
A4L9P7,1333,1333,True
A4L9P8,2395,2395,True
A4PES0,565,565,True
A4PES2,566,566,True
A4PIV8,457,457,True
A4Q9E5,927,927,True
A4Q9E8,822,822,True
A4Q9F0,912,912,True
A4Q9F1,832,832,True
A4Q9F3,704,704,True
A4Q9F6,804,804,True
A4QMS7,147,147,True
A4QN01,128,128,True
A4QPC6,514,514,True
A4QPH2,592,592,True
A4UUI2,589,589,True
A4UUI3,631,631,True
A5A3E0,1075,1075,True
A5D6W6,292,292,True
A5D8T8,446,446,True
A5D8V6,355,355,True
A5D8V7,595,595,True
A5D8W1,941,941,True
A5D989,637,280,False
A5D9C3,502,502,True
A5GFW1,402,402,True
A5HK05,585,585,True
A5I9F0,1439,1439,True
A5PJL4,740,740,True
A5PKL2,204,204,True
A5PKM1,238,238,True
A5PKW4,1024,1024,True
A5PL33,1030,1030,True
A5PLK6,1076,1076,True
A5PLL1,514,514,True
A5PLL7,270,270,True
A5PLN7,773,773,True
A5PLN9,417,417,True
A5X5Y0,456,456,True
A5YKK6,2376,2376,True
A5YM69,484,484,True
A5YM72,827,827,True
A6BLY7,462,462,True
A6BM72,1044,1044,True
A6H584,2640,2640,True
A6H5X4,337,337,True
A6H5Y1,1114,991,False
A6H5Y3,1253,1253,True
A6H5Z3,810,810,True
A6H619,1682,1682,True
A6H630,439,439,True
A6H639,498,498,True
A6H687,427,427,True
A6H690,825,825,True
A6H694,637,637,True
A6H6A9,815,815,True
A6H6E9,458,458,True
A6H702,547,547,True
A6H7G2,423,423,True
A6H7I1,1003,1003,True
A6H8H2,1906,1906,True
A6H8H5,907,907,True
A6H8M9,788,788,True
A6H8Y1,2624,2624,True
A6H8Z2,402,402,True
A6HIS0,167,167,True
A6JUQ6,327,327,True
A6NAV5,237,237,True
A6NC05,138,138,True
A6NC57,917,917,True
A6NC78,632,632,True
A6NC86,204,204,True
A6NC98,1476,1476,True
A6NCC3,632,632,True
A6NCF5,533,533,True
A6NCI4,1184,1184,True
A6NCI8,922,922,True
A6NCL1,334,334,True
A6NCL7,494,494,True
A6NCM1,818,818,True
A6NCQ9,220,220,True
A6NCS4,301,301,True
A6NCS6,295,295,True
A6NCV1,312,312,True
A6NCW0,530,530,True
A6ND36,823,823,True
A6ND48,311,311,True
A6ND91,283,283,True
A6NDA9,550,550,True
A6NDB9,673,673,True
A6NDE4,496,496,True
A6NDE8,117,117,True
A6NDG6,321,321,True
A6NDH6,313,313,True
A6NDI0,452,452,True
A6NDK9,693,693,True
A6NDN3,693,693,True
A6NDS4,549,549,True
A6NDU8,294,294,True
A6NDV4,472,472,True
A6NDX5,716,716,True
A6NDY0,278,278,True
A6NDY2,464,464,True
A6NE01,2351,2351,True
A6NE02,478,478,True
A6NE52,1622,1622,True
A6NEC2,478,478,True
A6NED2,376,376,True
A6NEE1,506,506,True
A6NEF3,574,574,True
A6NEH6,219,219,True
A6NEK1,342,342,True
A6NEL2,793,793,True
A6NEM1,432,432,True
A6NEQ0,496,496,True
A6NEQ2,426,426,True
A6NER0,549,549,True
A6NER3,117,117,True
A6NES4,1674,1674,True
A6NEV1,266,266,True
A6NEY3,463,463,True
A6NF01,834,834,True
A6NF34,631,631,True
A6NF89,314,314,True
A6NFA1,517,517,True
A6NFC9,320,320,True
A6NFE2,343,343,True
A6NFH5,140,140,True
A6NFI3,1004,1004,True
A6NFK2,248,248,True
A6NFN3,312,312,True
A6NFN9,502,502,True
A6NFQ2,919,919,True
A6NFQ7,191,191,True
A6NFR6,353,353,True
A6NFX1,504,504,True
A6NFY4,417,417,True
A6NFZ4,105,105,True
A6NGA9,273,273,True
A6NGB0,347,347,True
A6NGB9,483,483,True
A6NGC4,264,264,True
A6NGD5,496,496,True
A6NGE4,600,600,True
A6NGE7,173,173,True
A6NGG8,1288,1288,True
A6NGH7,325,325,True
A6NGJ6,449,449,True
A6NGK3,116,116,True
A6NGN4,478,478,True
A6NGN9,336,336,True
A6NGR9,719,719,True
A6NGY1,282,282,True
A6NGY3,159,159,True
A6NGY5,319,319,True
A6NGZ8,99,99,True
A6NH00,312,312,True
A6NH11,291,291,True
A6NH21,518,518,True
A6NH52,213,213,True
A6NH57,179,179,True
A6NHA9,309,309,True
A6NHC0,703,703,True
A6NHG4,134,134,True
A6NHJ4,632,632,True
A6NHL2,446,446,True
A6NHN0,477,477,True
A6NHN6,443,443,True
A6NHP3,402,402,True
A6NHQ4,379,379,True
A6NHR9,2005,2005,True
A6NHS7,340,340,True
A6NHT5,357,357,True
A6NHY2,528,528,True
A6NHZ5,514,514,True
A6NI03,449,449,True
A6NI28,874,874,True
A6NI47,508,508,True
A6NI56,667,667,True
A6NI61,221,221,True
A6NI73,299,299,True
A6NI79,296,296,True
A6NI86,522,522,True
A6NI87,242,242,True
A6NIH7,251,251,True
A6NIJ9,312,312,True
A6NIK2,292,292,True
A6NIR3,686,686,True
A6NIU2,74,74,True
A6NIV6,560,560,True
A6NIX2,430,430,True
A6NIY4,402,402,True
A6NIZ1,184,184,True
A6NJ46,265,265,True
A6NJ64,397,397,True
A6NJ78,407,407,True
A6NJ88,616,616,True
A6NJB7,356,356,True
A6NJG6,315,315,True
A6NJI1,115,115,True
A6NJI9,287,287,True
A6NJJ6,358,358,True
A6NJL1,495,495,True
A6NJT0,531,531,True
A6NJW4,275,275,True
A6NJZ3,312,312,True
A6NJZ7,1639,1639,True
A6NK02,468,468,True
A6NK06,481,481,True
A6NK44,160,160,True
A6NK53,670,670,True
A6NK59,587,587,True
A6NK75,572,572,True
A6NK89,507,507,True
A6NKB5,2137,2137,True
A6NKC0,464,464,True
A6NKC9,451,451,True
A6NKD2,308,308,True
A6NKD9,419,419,True
A6NKF1,404,404,True
A6NKF2,412,412,True
A6NKF7,163,163,True
A6NKG5,1358,1358,True
A6NKK0,313,313,True
A6NKL6,621,621,True
A6NKN8,68,68,True
A6NKP2,422,422,True
A6NKQ9,187,187,True
A6NKT7,1758,1758,True
A6NKU9,549,549,True
A6NKW6,160,160,True
A6NKX4,556,556,True
A6NL08,312,312,True
A6NL26,309,309,True
A6NL46,340,340,True
A6NL88,538,538,True
A6NLC5,250,250,True
A6NLF2,546,546,True
A6NLJ0,364,364,True
A6NLU0,287,287,True
A6NLU5,285,285,True
A6NLW8,204,204,True
A6NLX3,237,237,True
A6NM03,316,316,True
A6NM11,1700,1700,True
A6NM28,416,416,True
A6NM36,301,301,True
A6NM62,1247,1247,True
A6NM76,312,312,True
A6NMB9,653,653,True
A6NMD0,228,228,True
A6NMD2,632,632,True
A6NMK7,179,179,True
A6NMK8,535,535,True
A6NMN3,283,283,True
A6NMS7,1700,1700,True
A6NMT0,343,343,True
A6NMX2,242,242,True
A6NMY6,339,339,True
A6NMZ7,2263,2263,True
A6NN14,1252,1252,True
A6NNA2,597,597,True
A6NNA5,263,263,True
A6NNB3,132,132,True
A6NNC1,897,897,True
A6NNE9,402,402,True
A6NNF4,616,738,False
A6NNH2,459,459,True
A6NNJ1,464,464,True
A6NNL0,878,878,True
A6NNL5,157,157,True
A6NNM3,1639,1639,True
A6NNM8,815,815,True
A6NNN8,435,435,True
A6NNP5,214,214,True
A6NNS2,312,312,True
A6NNT2,1141,1141,True
A6NNV3,312,312,True
A6NNW6,625,625,True
A6NNY8,438,438,True
A6NP11,495,495,True
A6NP61,321,321,True
A6P320,398,398,True
A6PVC2,850,850,True
A6PVI3,153,153,True
A6PVL3,124,124,True
A6PVS8,624,624,True
A6PWD2,1420,1420,True
A6PWY4,622,622,True
A6QL63,1104,1104,True
A6QL64,1915,1915,True
A6QLB8,495,495,True
A6QLK8,287,287,True
A6QLR0,455,455,True
A6QP40,518,518,True
A6QPL4,662,662,True
A6QQU8,864,864,True
A6X8Z5,1425,1425,True
A6X8Z9,381,381,True
A6X919,746,746,True
A6X935,942,942,True
A6XGL0,299,299,True
A6Y7S3,476,476,True
A7BFV9,897,897,True
A7E1Z1,235,235,True
A7E1Z5,1070,1070,True
A7E2F4,631,631,True
A7E2U8,309,309,True
A7E2V4,1837,1837,True
A7E2Y1,1983,1983,True
A7E3N2,527,527,True
A7E3N7,446,446,True
A7KAX9,2087,2087,True
A7KBS4,506,506,True
A7M746,495,495,True
A7M7C7,1008,1008,True
A7MB01,957,957,True
A7MB24,475,475,True
A7MBC2,787,787,True
A7MBI5,684,684,True
A7MBM2,1401,1401,True
A7MCT6,385,385,True
A7MCY6,615,615,True
A7MD48,611,611,True
A7XUY5,1461,1461,True
A7XUZ6,1240,1240,True
A7XYI6,864,864,True
A7XYQ1,873,873,True
A7YQ68,901,901,True
A7YY47,586,586,True
A7YY54,347,347,True
A7YY57,1269,1269,True
A8C4G9,1208,1208,True
A8C756,1938,1938,True
A8CG34,1229,1229,True
A8DUK4,147,147,True
A8E0Y8,1033,1033,True
A8IHN8,242,242,True
A8K0R7,811,811,True
A8K0S8,358,358,True
A8K0Z3,465,465,True
A8K2U0,1454,1454,True
A8K4G0,201,201,True
A8K5M9,175,175,True
A8K7I4,914,914,True
A8K855,629,629,True
A8K8P3,1242,1242,True
A8K8V0,405,405,True
A8K979,691,691,True
A8MPP1,907,907,True
A8MPS7,323,323,True
A8MPY1,467,467,True
A8MQ03,144,144,True
A8MQ14,1090,1090,True
A8MQ27,555,555,True
A8MQB3,221,221,True
A8MQT2,603,603,True
A8MRT5,1133,1133,True
A8MT33,242,242,True
A8MT65,544,544,True
A8MT66,165,165,True
A8MT69,81,81,True
A8MT70,800,800,True
A8MTA8,275,275,True
A8MTI9,375,375,True
A8MTJ3,354,354,True
A8MTJ6,420,420,True
A8MTL3,300,300,True
A8MTL9,139,139,True
A8MTQ0,251,251,True
A8MTY0,619,619,True
A8MTZ0,92,92,True
A8MTZ7,269,269,True
A8MU46,494,494,True
A8MU93,118,118,True
A8MUH7,402,402,True
A8MUI8,341,341,True
A8MUK1,530,530,True
A8MUU9,505,505,True
A8MUV8,499,499,True
A8MUZ8,300,300,True
A8MV23,424,424,True
A8MV65,326,326,True
A8MV72,311,311,True
A8MV81,97,97,True
A8MVS5,230,230,True
A8MVW0,826,826,True
A8MVW5,462,462,True
A8MVX0,844,844,True
A8MW92,1017,1017,True
A8MW95,431,431,True
A8MWA4,300,300,True
A8MWD9,76,76,True
A8MWL6,223,223,True
A8MWL7,114,114,True
A8MWY0,1029,1029,True
A8MX76,684,684,True
A8MXD5,290,290,True
A8MXJ8,464,464,True
A8MXK1,200,200,True
A8MXP9,895,895,True
A8MXT2,336,336,True
A8MXV4,375,375,True
A8MXV6,281,281,True
A8MXY4,864,864,True
A8MXZ3,250,250,True
A8MY62,500,500,True
A8MYA2,514,514,True
A8MYP8,253,253,True
A8MYU2,1149,1149,True
A8MYV0,364,364,True
A8MYZ0,460,460,True
A8MYZ5,107,107,True
A8MYZ6,492,492,True
A8MZ26,197,197,True
A8MZ97,187,194,False
A8MZA4,724,724,True
A8QIC3,259,259,True
A8TX70,2615,2615,True
A8VU90,534,534,True
A8WCF8,266,266,True
A8Y5H7,715,715,True
A9CMA6,288,288,True
A9JSM3,176,176,True
A9LNM8,671,671,True
A9Q751,836,836,True
A9QM74,516,516,True
A9UHW6,222,222,True
A9UK05,651,651,True
A9UMV8,128,129,False
A9YD18,130,130,True
A9YTQ3,701,701,True
A9Z1V5,1215,1215,True
A9Z1X7,913,913,True
B0AZV7,279,279,True
B0BMX4,473,473,True
B0BMY3,161,161,True
B0BMZ4,472,472,True
B0BMZ5,436,436,True
B0BMZ6,332,332,True
B0BN00,513,513,True
B0BN30,389,389,True
B0BN46,335,335,True
B0BN47,218,218,True
B0BN49,328,328,True
B0BN52,303,303,True
B0BN58,479,479,True
B0BN64,434,434,True
B0BN66,387,387,True
B0BN72,97,97,True
B0BN78,341,341,True
B0BN85,336,336,True
B0BN90,313,313,True
B0BN94,138,138,True
B0BNA5,142,142,True
B0BNA7,325,325,True
B0BNA8,325,325,True
B0BNB2,194,194,True
B0BNC7,340,340,True
B0BND0,440,440,True
B0BNF1,442,442,True
B0BNF9,370,370,True
B0BNI4,360,360,True
B0BNJ1,198,198,True
B0BNJ4,254,254,True
B0BNK4,416,416,True
B0BNL5,254,254,True
B0BNL6,434,434,True
B0BNL7,272,272,True
B0BNM2,412,412,True
B0BNM4,171,171,True
B0EVI6,607,607,True
B0FP48,263,263,True
B0I1T2,1018,1018,True
B0K010,123,123,True
B0K014,209,209,True
B0LT89,431,431,True
B0QZF7,307,307,True
B0V2N1,1907,1907,True
B0V2W4,504,504,True
B0YJ81,288,288,True
B1AJZ9,1412,1412,True
B1AK53,854,854,True
B1AKI9,464,464,True
B1ANS9,1081,1081,True
B1APX2,447,447,True
B1AQ75,473,473,True
B1AQJ2,1098,1098,True
B1AQW2,390,390,True
B1AQX7,1198,1198,True
B1AQX9,1217,1217,True
B1AQZ0,484,484,True
B1AR09,1079,1079,True
B1AR13,137,137,True
B1AR17,2055,2055,True
B1AR69,1938,1938,True
B1ARD6,910,910,True
B1ARD8,910,910,True
B1ARH2,734,734,True
B1ARL3,323,323,True
B1ARW8,110,110,True
B1ASA5,418,418,True
B1AT66,607,607,True
B1ATG9,517,517,True
B1ATL7,298,298,True
B1AUC7,590,590,True
B1AUE5,324,324,True
B1AUH1,1446,1446,True
B1AVD1,674,674,True
B1AVH7,922,922,True
B1AVU4,173,173,True
B1AVY7,1312,1312,True
B1AVZ0,310,310,True
B1AVZ5,449,449,True
B1AWJ5,472,472,True
B1AWL2,2495,2495,True
B1AWN4,1474,1474,True
B1AWN6,2006,2006,True
B1AX39,541,541,True
B1AXD8,201,201,True
B1AXH1,1219,1219,True
B1AXN3,1250,1250,True
B1AXP3,476,476,True
B1AXS0,87,87,True
B1AXV0,293,293,True
B1AY10,1114,1114,True
B1AY13,2617,2617,True
B1AYB6,1498,1498,True
B1AZ99,396,396,True
B1AZA5,876,876,True
B1AZI6,1594,1594,True
B1AZM2,449,449,True
B1AZP2,992,992,True
B1B1A0,621,621,True
B1H223,297,297,True
B1H224,698,698,True
B1H226,434,434,True
B1H227,421,421,True
B1H228,694,694,True
