J3KQB2	J3KQB2
O43315	Q9JJJ3
Q6P3R8	Q6P3R8
Q9Y2D4	Q9Y2D4
Q9Y2D4	A6H5Z3
Q9Y2D4	Q8TAG9
Q9Y2D4	Q8R313
Q9Y2D4	O54923
Q9Y2D4	F1LZ53
P57086	P57086
Q62030	Q62030
Q62030	P29122
Q9BY49	Q9BY49
Q9BY49	Q99MZ7
Q9HCU5	Q9HCU5
Q9HCU5	Q9WUQ2
P40200	P40200
P40200	Q3U0X8
Q9UJK0	Q9UJK0
Q9UJK0	Q5HZH2
Q86X45	Q86X45
Q5XIN6	Q5XIN6
Q5XIN6	Q9Z2I0
Q5XIN6	O95202
Q60952	Q60952
Q60952	Q9BV73
Q8N6V9	Q8N6V9
O43451	O43451
Q63HN8	Q63HN8
Q63HN8	XP_221191
Q63HN8	E9Q555
Q9BWF2	Q9BWF2
Q9BWF2	Q8VIG6
Q6GPI1_VAR_A250T	Q6GPI1_VAR_A250T
Q6GPI1_VAR_A250T	Q6GPI1
Q6GPI1_VAR_A250T	P17538
Q6GPI1_VAR_A250T	Q9CR35
Q6GPI1_VAR_A250T	P40313
A4D256	A4D256
P54369	P54369
P54369	P54368
Q05932	Q05932
Q8VCY8	Q8VCY8
Q8VCY8	Q96GM1
Q8VCY8	Q6W5G4
P18077	P18077
P18077	O55142
Q6P8J7	Q6P8J7
Q6P8J7	P07335
Q6P8J7	P12277
Q6P8J7	P00565
Q6P8J7	P07310
Q6P8J7	P06732
Q6P8J7	P12532
Q6P8J7	P17540
Q6P8J7	P05122
Q6P8J7	Q04447
Q6P8J7	P30275
Q6P8J7	P25809
Q6P8J7	P00564
Q6P8J7	NP_001038016
Q6P8J7	P09605
Q9NRC9	Q9NRC9
P62702	P62702
P62702	Q3V1Z5
P62702	Q8TD47
P62702	P22090
P62702	P62701
P62702	NP_001074505
Q15528	Q15528
Q8BFZ9	Q8BFZ9
Q8BFZ9	O94905
Q8BFZ9	Q91X78
Q8BFZ9	O75477
Q8BFZ9	B5DEH2
Q8TBC5	Q8TBC5
P23919	P23919
Q9Y5R4	Q9Y5R4
Q9BVG3	Q9BVG3
Q9BVG3	Q80V85
Q5T5J6	Q5T5J6
Q5T5J6	Q9DBQ9
O89091	O89091
O89091	Q13118
O89091	Q61596
Q9BXC9	Q9BXC9
Q9BXC9	Q99MH9
Q99943	Q99943
P15170-3	P15170-3
P15170-3	Q8R050
P15170-3	Q149F3
P15170-3	Q8IYD1
P15170-3	P15170-2
Q96J66	Q96J66
A2AD83	A2AD83
A2AD83	Q6ZUT3
Q8BQS4	Q8BQS4
Q8BQS4	Q5T8I3
Q4VA55	Q4VA55
Q4VA55	Q5H9M0
Q8CHX7	Q8CHX7
Q8CHX7	Q52LD8
Q8CHX7	D3ZII1
P07093	P07093
O75146	O75146
O75146	Q9JKY5
P03940	P03940
P03940	P08686
Q6ZQ89	Q6ZQ89
Q6ZQ89	O60337
A2AUC9	A2AUC9
A2AUC9	O60662
A2AUC9	Q9ER30
A2AUC9	Q2TBA0
A2AUC9	Q9D783
Q96EP9	Q96EP9
Q91WK2	Q91WK2
Q91WK2	O15372
Q91WK2	Q6P9U8
Q8C0L0	Q8C0L0
Q8C0L0	Q9H1E5
Q8C0L0	G3V912
Q8JZR4	Q8JZR4
Q8JZR4	O00341
Q8NFT8	Q8NFT8
Q8NFT8	Q8JZM4
O43255	O43255
O43255	Q06986
Q6PFX9	Q6PFX9
Q6PFX9	O95271
Q80U04	Q80U04
Q80U04	O43164
Q9H2W2	Q9H2W2
Q810T2	Q810T2
Q810T2	K7NAQ4
Q8WWL7	Q8WWL7
Q8R2V3	Q8R2V3
Q8R2V3	P59923
O00154	O00154
O00154	Q91V12
O43572	O43572
O43572	O88845
Q9UBC5	Q9UBC5
Q9UBC5	O43795
Q9UBC5	P46735
Q9UBC5	Q05096
Q15038	Q15038
Q15038	Q9DCP9
Q9R1X5	Q9R1X5
Q9R1X5	O15440
Q8TEQ0	Q8TEQ0
Q8TEQ0	NP_001102996
Q8TEQ0	Q9D3S3
Q8ND07	Q8ND07
Q8BHJ9	Q8BHJ9
Q8BHJ9	O95391
Q8BHJ9	Q80ZG5
Q9P2H5	Q9P2H5
Q9P2H5	M0QWN7
Q9P2H5	F1M8S4
Q6BDS2	Q6BDS2
Q6BDS2	Q570Z6
Q6BDS2	XP_002725890
Q5TZK3	Q5TZK3
Q5TZK3	Q5RGS3
Q9BXR6	Q9BXR6
P16671	P16671
Q9NRH1	Q9NRH1
Q02410	Q02410
Q02410	O35430
Q02410	B2RUJ5
P48740	P48740
P48740	P98064
P43364	P43364
O95661	O95661
Q9BZJ0	Q9BZJ0
Q6ZSY5	Q6ZSY5
Q6ZSY5	Q9JIG4
Q3ULF4	Q3ULF4
Q3ULF4	Q9UQ90
Q92824	Q92824
Q92824	Q04592
Q3UM89	Q3UM89
Q9D5U8	Q9D5U8
Q96M20	Q96M20
Q96M20	Q96M20_VAR_P375S
Q8IYJ2	Q8IYJ2
Q8BH50	Q8BH50
Q15024	Q15024
Q15024	Q9D0M0
P14679	P14679
O95600	O95600
O00748	O00748
O00748	Q91WG0
O00748	Q8BK48
O00748	Q8QZR3
O00748	E9PV38
O00748	Q08ED5
O00748	Q32Q55
O00748	A8K367
O00748	Q6PDB7
O08608	O08608
O15321	O15321
O15321	Q9DBU0
Q9Y4F4	Q9Y4F4
Q9Y4F4	Q6A070
Q9Y4F4	D3ZW60
Q61122	Q61122
Q61122	Q13506
O95180	O95180
O95180	O88427
O95180	Q5SUF7
O95180	O43497-13
O95180	O43497
O95180	O43497-6
O95180	O43497-2
O95180	O54898
O95180	E9Q7P2
O95180	Q9Z0Y8
O95180	Q9P0X4
O96019	O96019
O96019	Q9Z2N8
O96019	O94805
O96019	Q4KM87
O96019	P86173
Q6DIC6	Q6DIC6
Q148V7	Q148V7
Q148V7	D3ZJ01
Q148V7	Q9P260
Q05682-2	Q05682-2
Q05682-2	Q05682-4
Q05682-2	Q05682-3
Q05682-2	Q05682-6
Q05682-2	Q28708
Q05682-2	NP_776683
Q05682-2	Q62736
Q05682-2	Q8VCQ8
O95182	O95182
O95182	Q05752
Q64152	Q64152
Q64152	P20290
Q9NRR8	Q9NRR8
Q9NRR8	Q8BHL7
Q9Y242	Q9Y242
Q96GV9	Q96GV9
Q96GV9	D3ZPS9
Q96GV9	Q8VEB3
Q6SJQ7	Q6SJQ7
O60602	O60602
O60602	Q9JLF7
Q6ZP82	Q6ZP82
Q6ZP82	E9Q8Q6
Q6ZP82	D3ZEY0
Q969M7	Q969M7
Q969M7	Q9CY34
P97610	P97610
P97610	Q920N7
P97610	Q8IV01
Q8TEA8	Q8TEA8
Q8TEA8	B0K014
Q8TEA8	Q9DD18
Q8TAM2	Q8TAM2
Q96NY7	Q96NY7
Q8TCF1	Q8TCF1
Q9DAX2	Q9DAX2
Q9DAX2	O43688
Q9DAX2	Q61469-2
Q9DAX2	Q61469
Q9DAX2	O14494
Q9DAX2	O08564
Q2KJY2	Q2KJY2
Q2KJY2	Q7TNC6
Q9ULF5	Q9ULF5
Q9ULF5	Q6P5F6
Q9ULF5	D4A517
P15169	P15169
P35711	P35711
P35711	P35710
P35711	A0A0G2JTZ2
P35711	P40645
P35711	P35712
P51826	P51826
P51826	P51827
Q9NYT0	Q9NYT0
Q9NYT0	Q9WV52
P61758	P61758
P61329	P61329
P61329	P61328
P61329	P70378
P61329	Q8R5L8
P61329	P61150
P61329	Q92915
P61329	P70379
P61329	Q92915-2
P61329	P70377
P61329	Q92913
P61329	Q92913-5
P61329	Q9ERW3
Q9Y215	Q9Y215
G3UVV3	G3UVV3
G3UVV3	Q9C0G0
Q99PT9	Q99PT9
Q99PT9	Q2TAC6
E9PX57	E9PX57
E9PX57	Q6ZMV9
P43652	P43652
P43652	O89020
P43652	P36953
Q8N326	Q8N326
Q9ULI0	Q9ULI0
Q9ULI0	E9Q166
O14791	O14791
P01012	P01012
Q63886	Q63886
Q63886	Q6ZQM8
Q63886	P70691
Q63886	P35503
Q63886	Q6T5E7
Q63886	P22309
Q63886	Q9HAW8
Q63886	Q62452
Q63886	Q9HAW7
Q63886	Q9HAW9
Q63886	Q64435
Q63886	P19224
Q63886	O60656
Q63886	P35504
Q63886	P22310
Q63886	Q6XL48
Q63886	P08430
P17213	P17213
Q5F293	Q5F293
Q5F293	Q9P1Z0
Q5U4N7	Q5U4N7
Q5TAQ9	Q5TAQ9
Q5TAQ9	Q5U2M6
Q5TAQ9	Q8N7N5
Q5TAQ9	P0C7V8
Q5TAQ9	A6NGE4
Q9BUH6	Q9BUH6
Q9BUH6	Q8K0Y7
Q7L4I2	Q7L4I2
Q7L4I2	S4R2L4
Q96MW7	Q96MW7
Q6NXG1	Q6NXG1
Q6NXG1	Q3US41
Q6NXG1	Q6NXG1-3
Q6NXG1	Q9H6T0
Q6NXG1	Q8K0G8
Q6NXG1	B2RYJ8
Q86X53	Q86X53
P82094	P82094
P82094	B9EKI3
P82094	G3V9T2
Q05BV3	Q05BV3
Q05BV3	Q6ZMW3
Q05BV3	Q5SQM0
Q05BV3	Q8BQM8
Q05BV3	Q6ED65
Q6PDK8	Q6PDK8
Q6PDK8	Q9Y2E6
Q6PDK8	Q86Y01
Q6PDK8	Q61010
Q96PH1-4	Q96PH1-4
Q96PH1-4	Q96PH1
Q60862	Q60862
Q60862	Q13416
Q6IA69	Q6IA69
Q9HBW0	Q9HBW0
Q80TQ2	Q80TQ2
Q80TQ2	Q66H62
Q80TQ2	Q9NQC7
Q99MK9	Q99MK9
Q99MK9	Q9NS23-2
Q99MK9	Q9NS23
Q9HBA9	Q9HBA9
Q460N3	Q460N3
Q4G176	Q4G176
Q8TDB4	Q8TDB4
Q53HL2	Q53HL2
Q53HL2	Q6AXW0
Q53HL2	Q8BHX3
Q9BWS9	Q9BWS9
Q9BWS9	Q9BWS9-2
Q9NXB0	Q9NXB0
Q9NXB0	Q5SW45
Q8BYM8	Q8BYM8
Q8BYM8	Q9HA77
Q9H672	Q9H672
Q9NRV9	Q9NRV9
Q9NRV9	Q9R257
Q9NRV9	B4F7C7
P11150	P11150
P11487	P11487
P11487	P05524
P51945	P51945
P51945	P51959
Q924T3	Q924T3
Q924T3	Q13426
Q924T3	Q5XI44
Q2TJI9	Q2TJI9
Q08174-2	Q08174-2
Q08174-2	Q68HB6
Q08174-2	E9Q2S0
Q08174-2	NP_001166994
Q08174-2	E1BCK4
Q5SY80	Q5SY80
A0A571BF63	A0A571BF63
Q8N957	Q8N957
Q7TSP2	Q7TSP2
Q7TSP2	Q6P9L6
Q7TSP2	Q9NS87
Q86XF7	Q86XF7
Q9Y261	Q9Y261
Q9Y261	P35583
Q9Y261	P32182
Q9Y261	P23512
Q9Y261	P55317
Q9Y261	P35582
Q96J65	Q96J65
Q96J65	Q6Y306
Q96J65	Q80WJ6
Q969K4	Q969K4
Q969K4	Q99LJ2
Q6P1M9	Q6P1M9
Q6P1M9	Q3UZB0
Q99828	Q99828
P62263	P62263
P62263	P62264
NP_001157291	NP_001157291
NP_001157291	Q9HB96
Q0VGM9	Q0VGM9
Q0VGM9	Q9NZ71
Q149C2	Q149C2
Q149C2	Q5XIN3
Q149C2	Q8TDR0-2
Q149C2	Q8TDR0
Q8VEF1	Q8VEF1
Q8VEF1	Q96CP6
Q8VEF1	Q3KR56
Q6NWW5	Q6NWW5
Q6NWW5	Q5T7B8
Q400C8	Q400C8
Q400C8	Q86W34
Q96Q11	Q96Q11
Q8WVZ9	Q8WVZ9
Q8WVZ9	Q86V97
Q8WVZ9	Q501K2
Q9UGK8	Q9UGK8
Q9BY43	Q9BY43
Q9BY43	Q9H444
Q9BY43	Q96CF2
Q9BY43	Q9D8B3
Q9BY43	D4A9Z8
Q96QE4	Q96QE4
Q8TAW3	Q8TAW3
Q8BGD7	Q8BGD7
Q9BQG2	Q9BQG2
Q9UIU6	Q9UIU6
Q8R3C6	Q8R3C6
Q8R3C6	Q9Y4C8
Q7TT18	Q7TT18
Q7TT18	Q6VMQ6
Q7TT18	D3ZS88
Q7RTY7	Q7RTY7
Q9NR99	Q9NR99
Q9P267	Q9P267
Q9P267	B1AYB6
Q8K387	Q8K387
Q8K387	Q70EL2
Q8WXH5	Q8WXH5
Q8WXH5	NP_001100726
Q8WXH5	Q91ZA6
Q8IYD2	Q8IYD2
Q6PE65	Q6PE65
Q6PE65	Q9NWQ4
Q6PE65	D3ZUP4
Q96HA9	Q96HA9
Q96HA9	Q6P6M5
Q3V1L4	Q3V1L4
Q3V1L4	P49902
Q64287	Q64287
Q64287	Q15306
Q96L94	Q96L94
Q9Z1D8	Q9Z1D8
Q9Z1D8	Q9Y2L8
Q96EV8	Q96EV8
Q96EV8	Q91WZ8
Q15034	Q15034
Q15034	Q8CFQ0
Q15034	Q5PQN1
Q15034	Q6PAV2
Q15034	Q5GLZ8
O70340	O70340
O70340	P47972
O70340	Q15818
O70340	Q62443
Q76KD6	Q76KD6
Q8CCE9	Q8CCE9
Q8CCE9	Q66K89
Q3ZCV2	Q3ZCV2
Q86VR2	Q86VR2
Q86VR2	B2GV94
Q86VR2	Q9CQV4
Q01726	Q01726
Q9UKL4	Q9UKL4
Q9UKL4	O54851
O15066	O15066
O15066	Q61771
O35231	O35231
O35231	Q9BVG8
P09237	P09237
Q9P291	Q9P291
Q9P291	Q9CX83
Q8CFQ3	Q8CFQ3
Q8CFQ3	O60306
Q70EL4	Q70EL4
Q70EL4	Q8BUM9
O14880	O14880
P29558	P29558
P29558	Q6XE24
P29558	Q8BWL5
P29558	Q91W59
P29558	Q4QR81
P29558	Q8VC70
P29558	Q15434
Q8VCM2	Q8VCM2
Q8VCM2	Q8NFA2-3
Q8VCM2	Q8NFA2
P32019	P32019
P32019	Q8K337
Q5T9S5	Q5T9S5
Q5T9S5	Q640L5
Q5QNQ9	Q5QNQ9
Q5QNQ9	Q8IZC6
Q9BTE7	Q9BTE7
Q9BTE7	Q9CXV9
Q3UIW5	Q3UIW5
Q3UIW5	Q8N5U6
O75074	O75074
O75074	E9Q1T6
Q6XZB0	Q6XZB0
Q6ZMN7	Q6ZMN7
Q6ZMN7	Q69ZS0
Q6ZMN7	Q9UPQ7
Q6ZMN7	P68907
Q6R2W3	Q6R2W3
Q2M3W8	Q2M3W8
Q14929	Q14929
Q14929	P52736
P57054	P57054
P51878	P51878
Q86VI4	Q86VI4
Q9H1C7	Q9H1C7
P78504	P78504
P78504	Q9QXX0
P78504	Q9Y219
P78504	Q9QYE5
P68037	P68037
P68037	O14933
P68037	P68036
P68037	XP_619973
Q99L13	Q99L13
Q99L13	P31937
Q9Y2C4	Q9Y2C4
Q9Y2C4	Q8C163
Q9NZL6	Q9NZL6
Q9NZL6	Q60695
Q08623	Q08623
Q9UPP2	Q9UPP2
Q9UPP2	Q76M68
Q9UPP2	Q3TES0
Q5RHP9	Q5RHP9
Q5RHP9	XP_227786
Q5RHP9	F6QRE9
Q3TNW5	Q3TNW5
Q7RTX1	Q7RTX1
Q8R138	Q8R138
Q8R138	Q4V9L6
Q8R138	B2RYL3
P05160	P05160
P05160	Q07968
O95985	O95985
O95985	Q9Z321
Q61045	Q61045
Q61045	P81133
Q3UKU1	Q3UKU1
Q3UKU1	O00472
Q3UKU1	F1LSH1
Q8BMA6	Q8BMA6
