Q9HBQ8	Q9HBQ8
Q14558-2	Q8C5R8
Q14558-2	Q9CS42
Q14558-2	P21108
Q14558-2	P11908
Q14558-2	G3UXL2
Q14558-2	NP_001009694
Q14558-2	P60892
Q14558-2	P60891
Q14558-2	Q9D7G0
Q14558-2	P09330
P51654-3	P51654-3
P51654-3	P51654
P51654-3	P13265
P51654-3	Q8CFZ4
P51654-3	Q8CAL5
P51654-3	P78333
P57113	P57113
P57113	O43708
P57113	Q9WVL0
Q401N2	Q401N2
Q401N2	Q401N2-3
XP_006544525	XP_006544525
Q5U2R3	Q5U2R3
Q5U2R3	Q3UFK8
Q5U2R3	Q9BZ67-2
Q5U2R3	Q9BZ67
Q5U2R3	Q9BZ67-3
Q5U2R3	Q9BZ68
Q9ET47	Q9ET47
Q9ET47	B1AK53
Q9ET47	Q63618
Q9ET47	Q9ET47-2
Q9ET47	Q3V096
Q9ET47	Q8N9B4
Q9ET47	Q3V096-3
Q9ET47	Q8N9B4-2
Q9ET47	D3ZA25
Q5F3W0	Q5F3W0
Q5F3W0	Q8CIS0
Q5F3W0	Q9BXL7
Q5F3W0	XP_038945886
Q5F3W0	Q9H257
Q5F3W0	Q9EPY0
Q5F3W0	A2AIV8
Q5F3W0	XP_243622
Q5F3W0	P58660
Q5F3W0	E9PUV9
Q5F3W0	Q9BWT7
Q5F3W0	Q9BXL6
Q5F3W0	Q99KF0
Q6YHK3	Q6YHK3
Q6YHK3	Q8R422
Q6YHK3	NP_001102241
Q14746	Q14746
Q14746	Q921L5
Q14746	D3ZT01
Q8NBA8	Q8NBA8
Q8NBA8	Q9D0U1
Q8NBA8	D3ZGK2
Q8N6T0-4	Q8N6T0-4
Q8N6T0-4	Q8N6T0
Q8N6T0-4	J3QMY9
Q8K0Z9	Q8K0Z9
Q8K0Z9	Q6NV75
Q8K0Z9	Q3UN16
Q8K0Z9	Q16538
Q8K0Z9	D4AAS1
XP_006246570	XP_006246570
XP_006246570	Q6ZVM7-3
XP_006246570	Q5SRX1
XP_006246570	Q6ZVM7
XP_006246570	Q6ZVM7-2
XP_006246570	O60784-2
XP_006246570	Q5XI21
XP_006246570	O88746
XP_006246570	O60784-3
XP_006246570	O60784-4
XP_006246570	Q5BIP4
XP_006246570	O60784
XP_006246570	O75674
XP_006246570	F1LM81
XP_006246570	Q923U0
Q9H1L0	Q9H1L0
Q9NZI7	Q9NZI7
Q9NZI7	Q811S7
Q9NZI7	Q9NZI7-4
Q9NZI7	D4A030
Q9NZI7	Q12800
Q9NZI7	G3V969
Q9NZI7	Q9NZI6
Q9NZI7	Q3UNW5
Q9NZI7	Q9ERA0
Q80U56	Q80U56
Q80U56	Q8NBF6
Q80U56	D3ZVU6
Q9Y639	Q9Y639
Q9Y639	Q9Y639-5
Q9Y639	P97300
Q9Y639	P97546
Q9Y639	P18572
Q9Y639	P26453
Q9Y639	P35613
Q9Y639	P35613-2
Q9Y639	P35613-4
Q9Y639	P21995
Q9Y639	O88775
Q9Y639	Q6PCB8
P50398	P50398
P50398	P50399
P50398	P21856
P50398	P31150
P50398	P50396
P50398	Q61598
P50398	P50395-2
P50398	P50395
Q8BI22	Q8BI22
Q8BI22	Q6ZU80-1
Q8BI22	Q6ZU80
Q8BI22	XP_001064024
Q96EK9	Q96EK9
Q96EK9	Q9D1R2
Q96EK9	Q5I0L7
Q9HC38	Q9HC38
Q9HC38	Q5I0D1
Q9HC38	Q9CPV4
Q9HC38	Q9HC38-2
Q8BGZ2	Q8BGZ2
Q8BGZ2	D3ZHW1
Q8BGZ2	Q92567
Q8BGZ2	Q92567-2
Q8BGZ2	A1KXE4
Q8BGZ2	Q80XQ8
Q8BGZ2	D4AEP3
Q9BS92	Q9BS92
Q9BS92	Q5M949
Q9BS92	Q9CQE1
Q9BS92	Q9UFN0
Q6P3S6	Q6P3S6
Q6P3S6	Q6PDJ6
Q6P3S6	ENSRNOP00000019195
Q5RK23	Q5RK23
Q5RK23	Q96SE0
Q5RK23	Q9QZC8
Q5RK23	Q91ZH7
Q5RK23	Q8WU67
P0DP91	P0DP91
P0DP91	Q8N328
P0DP91	Q6P3X8
P0DP91	Q96JS3
O15205	O15205
O15205	P63072
O15205	Q921A3
Q9UNM6-2	Q9UNM6-2
Q9UNM6-2	B0BN93
Q9UNM6-2	Q9WVJ2
Q9UNM6-2	Q9UNM6
G3V8L0	G3V8L0
G3V8L0	Q96S15
G3V8L0	Q8CFJ9
Q9R0R1	Q9R0R1
Q9R0R1	P08582
Q9R0R1	D4ADK7
Q9R0R1	D3ZAB1
Q9R0R1	P08071
Q9R0R1	Q64599
Q9R0R1	P12346
Q9R0R1	Q921I1
Q9R0R1	P02788
Q9R0R1	P02788-2
Q9R0R1	P02787
Q9R0R1	Q9DBD0
A6NIM6	A6NIM6
A6NIM6	D3ZKX5
A6NIM6	Q8CBB2
P31210	P31210
P31210	Q8VCX1
P31210	Q5RJP0
P31210	G5E895
P31210	Q6AY99
P31210	Q91W30
P31210	P45377
P31210	P45376
P31210	P15121
P31210	D3Z494
P31210	P21300
P31210	C9JRZ8
P31210	P07943
P31210	O60218
P31210	Q96JD6
P31210	P51857
P31210	Q3UXL1
P31210	D3ZF77
P31210	Q91WT7
P31210	P23457
P31210	G3X9Y6
P31210	Q6AYQ2
P31210	P17516
P31210	D3ZEL2
P31210	Q8K023
P31210	P42330
P31210	Q2MHD9
P31210	P70694
P31210	Q04828
P31210	P52895
P31210	Q91WR5
P31210	Q8VC77
P31210	Q91X42
P31210	Q8VC28
P31210	D3ZPY8
P31210	P51652
P31210	Q9DCT1
P31210	Q5U1Y4
P31210	Q9CZU0
P31210	Q9JII6
P31210	P14550
P31210	P51635
P31210	P52895-2
P31210	Q5T2L2
Q8NAC3	Q8NAC3
Q8NAC3	Q8K4C2
Q5HZJ5	Q5HZJ5
Q5HZJ5	P81408
Q5HZJ5	P81408-4
Q5HZJ5	O60320
Q5HZJ5	F1LTM7
Q5HZJ5	Q6A044
P11672	P11672
P11672	P30152
P11672	P80188
P11672	P41222
P11672	O09114
P11672	P22057
P11672	B3EY83
P11672	Q6JVL5
P11672	Q6JVE5
Q9H0U6	Q9H0U6
Q9H0U6	Q9CQL5
Q9H0U6	Q3ZBR7
Q9H0U6	B2RZ57
B0YJ81	B0YJ81
B0YJ81	Q9QY80
B0YJ81	Q6Y1H2
B0YJ81	Q9D3B1
Q9HBR0	Q9HBR0
Q9HBR0	Q9HBR0-3
Q9HBR0	E9PT23
Q9HBR0	Q5I012
Q9HBR0	Q5I012-3
Q9HBR0	E1BF27
Q6PA06	Q6PA06
Q6PA06	Q8NHH9
Q6PA06	Q6PST4
Q6PA06	F1LQ09
Q6PA06	Q8NHH9-2
Q6PA06	Q8WXF7
Q6PA06	Q91YH5
Q6PA06	Q6DD88
Q6PA06	Q8BH66
Q6PA06	Q0ZHH6
P19957	P19957
D4A503	D4A503
D4A503	Q96GY3
D4A503	Q9D8N6
Q86WT1	Q86WT1
Q86WT1	Q99J38
Q86WT1	Q8N4P2
Q86WT1	Q9CY00
Q86WT1	Q4QQS2
Q86WT1	A2AKQ8
Q86WT1	B2RYD6
O95390	O95390
O95390	Q9Z1W4
O95390	Q9Z217
O95390	O08689
O95390	O14793
O95390	O35312
Q8IYX1	Q8IYX1
Q8IYX1	Q9D9D3
Q8IYX1	Q6AYM5
Q8BGQ4	Q8BGQ4
Q8BGQ4	Q9UKY4
Q8BGQ4	Q14U74
Q8BGQ4	Q99PR0
Q8BGQ4	Q8R2R1
Q8BGQ4	Q9Y6A1
Q86Y29	Q86Y29
Q86Y29	Q13072
Q86Y29	Q86Y28
Q86Y29	Q86Y27
Q86Y29	Q86Y30
Q80ZQ0	Q80ZQ0
Q80ZQ0	Q8TDM5
P54252-1	P54252-1
P54252-1	Q9CVD2
P54252-1	P54252-5
P54252-1	P54252
P54252-1	O35815
P54252-1	Q9H3M9
P35080-2	P35080-2
P35080-2	P35080
P35080-2	Q9JJV2
P35080-2	Q9EPC6
P35080-2	P02584
P35080-2	P62962
P35080-2	P62963
P35080-2	P07737
P35080-2	P60673
P35080-2	Q9DAD6
P35080-2	M0RCP6
Q2T9L4	Q2T9L4
Q2T9L4	Q8CD60
Q2T9L4	B0BN13
Q2T9L4	D4A107
Q2T9L4	Q569H4
Q2T9L4	A3KMN5
Q9CR02	Q9CR02
Q9CR02	Q96EY4
Q9CR02	D4AAG0
P62857	P62857
P62857	P62858
P62857	P62859
Q9H3S4	Q9H3S4
Q9H3S4	Q9R0M5
Q9H3S4	NP_001128466
Q96DN2	Q96DN2
Q96DN2	Q3U515
P09132-3	P09132-3
P58390	P58390
P58390	P70604
P58390	P70605
P58390	Q9H2S1
P58390	P70606
P58390	Q92952
P58390	P58391
P58390	Q9UGI6
P58390	Q9EQR3
P58390	O15554
P58390	Q9QYW1
P58390	O89109
Q9CZQ9	Q9CZQ9
Q9CZQ9	Q8N3I7
O09159	O09159
O09159	O00754
O09159	O00754-2
O09159	Q6P762
G5E8M7	G5E8M7
G5E8M7	P09488-2
G5E8M7	O35660
G5E8M7	Q80W21
G5E8M7	P08009
G5E8M7	B0BN47
G5E8M7	P15626
G5E8M7	P08010
G5E8M7	P04905
G5E8M7	Q03013
G5E8M7	Q5BK56
G5E8M7	P19639
G5E8M7	Q9WU21
G5E8M7	P10649
G5E8M7	P21266
G5E8M7	P28161
G5E8M7	Q8R5I6
G5E8M7	P48774
G5E8M7	Q9Z1B2
G5E8M7	P46439
G5E8M7	P09488
G5E8M7	P19157
G5E8M7	P09211
G5E8M7	P04906
G5E8M7	P46425
Q4G0N8	Q4G0N8
Q4G0N8	Q6UJY2
Q5BJZ3	Q5BJZ3
Q5BJZ3	Q61941
Q5BJZ3	Q13423
Q8BR70	Q8BR70
Q8BR70	Q4QQU5
Q8BR70	Q96EC8-2
Q8BR70	Q96EC8
Q5PPN2	Q5PPN2
Q5PPN2	Q91WE3
Q5PPN2	Q9BUL9
Q5PPN2	Q8N5L8
Q5PPN2	Q99JH1
Q5PPN2	B0BMX6
Q6AXV0	Q6AXV0
Q6AXV0	Q9JLV6
Q6AXV0	Q96T60
B2RYW3	B2RYW3
B2RYW3	Q9Y6M9
B2RYW3	Q9CQJ8
P07895	P07895
P07895	P09671
P07895	P04179
P07895	P04179-2
Q99MZ4	Q99MZ4
Q99MZ4	Q9UJ14-5
Q99MZ4	Q9UJ14
Q99MZ4	Q99JP7
Q9R007	Q9R007
Q9R007	Q9NY25
Q5XIH8	Q5XIH8
Q5XIH8	Q13286
Q5XIH8	Q13286-6
Q5XIH8	Q61124
P25786-2	P25786-2
P25786-2	P25786
P25786-2	P18420
P25786-2	Q9R1P4
P25786-2	Q9Z2U1
P25786-2	P28066
P25786-2	P34064
P25786-2	Q8TAA3
P25786-2	O14818-2
P25786-2	O14818
P25786-2	Q8TAA3-2
P25786-2	Q9CWH6
P25786-2	Q9Z2U0
P25786-2	NP_001008218
P25786-2	Q9R1P0
P25786-2	P25789-2
P25786-2	P25789
P25786-2	P21670
P25786-2	P60901
P25786-2	Q9QUM9
P25786-2	P60900
P25786-2	P49722
P25786-2	P17220
P25786-2	P25787
P25786-2	P18422
P25786-2	P25788
P25786-2	O70435
P25786-2	P25788-2
Q8CAA5	Q8CAA5
Q8CAA5	Q96GL9
Q8CAA5	Q8BUM6
Q8CAA5	P0C2L3
E7EVA0	E7EVA0
E7EVA0	P27816-2
E7EVA0	P27816
E7EVA0	P27816-6
E7EVA0	P27816-4
E7EVA0	B4DM10
E7EVA0	P27546
E7EVA0	P27546-3
E7EVA0	P27816-5
E7EVA0	ACK86564
E7EVA0	P27546-4
E7EVA0	P27816-3
E7EVA0	A0A0G2JFH2
E7EVA0	P36225
EDL14953	EDL14953
Q8NBQ7	Q8NBQ7
Q8NBQ7	Q8BHH1
Q8NBQ7	Q8CHM1
Q8NBQ7	A6NM10-2
Q8NBQ7	D4A9T6
Q8NBQ7	Q8IXF9
Q8NBQ7	Q8CHJ2
Q8NBQ7	A6NM10
P51861	P51861
Q9H8X3	Q9H8X3
Q86TU6	Q86TU6
A2RU48	A2RU48
A2RU48	Q8BQM7
P30260-2	P30260-2
P30260-2	A2A6Q5
P30260-2	P30260
P30260-2	Q4V8A2
P30260-2	Q3UYS3
XP_991308	XP_991308
Q9BXU0	Q9BXU0
Q9BXU0	Q9CR81
P11473-2	P11473-2
P11473-2	P13053
P11473-2	P48281
P11473-2	P11473
P11473-2	Q9QUS1
P11473-2	O35627
P11473-2	Q14994
P11473-2	O75469
P11473-2	O54915
P11473-2	Q9R1A7
Q8IUC3	Q8IUC3
Q8IUC3	Q9D3I6
Q58A44	Q58A44
Q96LM9	Q96LM9
Q96I45	Q96I45
Q96I45	A2AJB2
Q8WTV1	Q8WTV1
Q8WTV1	Q9NVV9
Q8WTV1	Q8CHW1
Q8WTV1	Q5U208
A6NFC5	A6NFC5
A6NFC5	B1AQL3
A6NFC5	B3SHH9
A6NFC5	Q9D563
Q9ULZ0	Q9ULZ0
Q6ZNK6	Q6ZNK6
Q6ZNK6	Q8JZM6
Q6ZNK6	Q5BK67
Q0P140	Q0P140
Q30KP5	Q30KP5
Q30KP5	Q30KQ7
Q30KP5	Q32ZH4
Q8R2E7	Q8R2E7
Q8R2E7	Q61160
Q8R2E7	Q13158
O09171	O09171
O09171	Q68FT5
O09171	Q91WS4
O09171	Q9H2M3
O09171	O35490
O09171	Q93088
NP_001178709	NP_001178709
NP_001178709	Q8CFE4
NP_001178709	Q6P3W7
P52759	P52759
P52759	P52758
P52759	P52760
H3BNL8	H3BNL8
P14784	P14784
P14784	P26896
P14784	P16297
O60841	O60841
O60841	B2GUV7
O60841	Q05D44
P48436	P48436
P48436	Q04887
P48436	P48434
P48436	F1LYL9
P48436	Q04888
P48436	P56693
P48436	O55170
P48436	P57073
P48436	Q04886
P48436	P41225
P48436	P53784
P48436	G3V923
P48436	Q9H6I2
P48436	Q61473
P48436	P35713
P48436	P43680
Q9DCH4	Q9DCH4
Q9DCH4	O00303
Q9DCH4	D4AC36
P22449	P22449
P22449	P41235
P22449	P49698
P22449	F1M342
P22449	Q14541
P22449	Q9WUU6
P22449	P10588
P22449	O09017
P22449	P43136
P52735	P52735
P52735	Q60992
P52735	P52735-3
P52735	NP_001100033
P52735	P52735-2
P52735	P27870
P52735	P15498
P52735	P15498-2
P52735	P54100
P52735	Q9UKW4-4
P52735	F1LWB1
P52735	Q9R0C8
P52735	Q9UKW4
Q96QP1	Q96QP1
Q96QP1	Q9CXB8
Q16572	Q16572
Q16572	Q62666
Q16572	O35304
Q16572	P54219
Q16572	Q8R090
Q16572	Q01818
Q16572	Q01827
Q16572	Q8BRU6
Q16572	Q05940
Q05823	Q05823
Q05823	Q80WM6
Q05823	Q05921
Q7TNL4	Q7TNL4
Q7TNL4	Q7TNL3
Q7TNL4	Q8N2I9
A0A286YDK6	A0A286YDK6
A0A286YDK6	A0A1W2PR82
P98172	P98172
P98172	O73612
P98172	P52795
P98172	P52796
P98172	G3V7D4-1
P98172	Q15768
P98172	O35393
P98172	B2B9A9
P98172	P52800
P98172	P52799
Q96QT6	Q96QT6
Q96QT6	F1LM99
Q96QT6	Q5SPL2
Q6P1N0	Q6P1N0
Q6P1N0	Q6P1N0-2
Q6P1N0	Q8K1A6
Q6P1N0	Q66HA5
Q6P1N0	Q5T0F9
Q6P1N0	Q5FVK6
Q6P1N0	Q8BRN9
Q6P1N0	Q5T0F9-2
P20917	P20917
P20917	P07722-2
P20917	P07722
P20917	P20916
P20917	Q3ZB60
P20917	P20917-2
Q9QXN3	Q9QXN3
Q9QXN3	Q15650
Q9QXN3	B5DEP5
Q64649	Q64649
Q64649	P18826
Q64649	P18688
Q64649	P46020
Q64649	P46020-2
Q64649	P46020-3
Q64649	Q8CBA7
Q64649	P46019
Q64649	NP_001382568
Q64649	Q8BWJ3
Q64649	Q5RKH5
Q64649	Q93100-2
Q64649	Q7TSH2
Q64649	Q93100-3
Q64649	Q93100
Q64649	P12798
Q64649	E0CZ55
P24270	P24270
P24270	O62839
P24270	P04762
P24270	P04040
Q9CPY3	Q9CPY3
Q9CPY3	XP_574612
Q9CPY3	Q96FF9
Q9CXW3	Q9CXW3
Q9CXW3	Q9HB71
Q9CXW3	Q6AYK6
Q9ULV3	Q9ULV3
Q9ULV3	Q8VEH2
Q9ULV3	F1LV60
Q9UEU0	Q9UEU0
Q9UEU0	Q9UEU0-2
Q9UEU0	O88384
Q9UEU0	P58200
Q9R1P1	Q9R1P1
Q9R1P1	P40112
Q9R1P1	P49720
Q6A4J8	Q6A4J8
Q6A4J8	Q4VSI4
Q6A4J8	Q93009
Q6A4J8	Q93009-3
Q9BRK3-2	Q9BRK3-2
Q9BRK3-2	Q9DBV4
Q9BRK3-2	Q9BRK3
Q9BRK3-2	Q5XI43
Q9NZH7	Q9NZH7
Q6XCG6	Q6XCG6
Q5W0B7	Q5W0B7
Q5W0B7	A2ARJ3
Q6UWW9	Q6UWW9
Q6UWW9	P86045
P0CAT3	P0CAT3
Q3LI67	Q3LI67
Q3LI67	Q3LI66
Q3LI67	Q3LI64
Q3LI67	Q3LI54
Q8IUB5	Q8IUB5
Q8IUB5	Q5DQQ6
Q8IUB5	M0R9E6
P40205	P40205
Q96IR3	Q96IR3
Q6ZRR5	Q6ZRR5
Q6ZRR5	Q3TYE7
Q8TAF5	Q8TAF5
Q5XIH0	Q5XIH0
Q5XIH0	Q9D0U6
Q5XIH0	Q9H063
Q8CG45	Q8CG45
Q8CG45	Q8CG76
Q8CG45	Q8NHP1-2
Q8CG45	Q8NHP1
Q8CG45	O95154
Q8CG45	P38918
Q8CG45	O43488
Q5U209	Q5U209
Q5U209	Q9CWY8
Q5U209	O75792
Q14CW9-2	Q14CW9-2
Q14CW9-2	D4A5H7
Q14CW9-2	Q14CW9
Q14CW9-2	A2AWT3
Q14CW9-2	Q3UD01
Q14CW9-2	D3ZFQ1
Q14CW9-2	Q96GX2
Q494U1-2	Q494U1-2
Q494U1-2	Q494U1
Q494U1-2	Q8C886
Q494U1-2	Q8C886-2
Q6AY04	Q6AY04
Q6AY04	Q8BHE8
Q6AY04	Q8WWC4
O94901-9	O94901-9
O94901-9	O94901-6
O94901-9	O94901
O94901-9	O94901-3
O94901-9	Q9UH99-2
O94901-9	Q8BJS4
O94901-9	Q9UH99
O94901-9	XP_001076724
O94901-9	Q9D666
O94901-9	Q5U2W0
O94901-9	Q8TC36
O94901-9	Q9DA32
O94901-9	Q8TAQ9
O94901-9	Q5SS91
O94901-9	O55034
O94901-9	Q9NPE6
O94901-9	Q9JJF2
G3UX33	G3UX33
G3UX33	Q9Y5W7-2
G3UX33	Q8BHY8
G3UX33	Q9Y5W7
D4A659	D4A659
D4A659	Q6NXK2
D4A659	Q8N1G0
D4A659	Q9D2D7
D4A659	D3ZT56
D4A659	Q9HCE3
D4A659	Q92610
D4A659	D3ZJG8
D4A659	Q8BHZ4
Q12792-3	Q12792-3
Q12792-3	Q12792
Q12792-3	Q91YR1
Q12792-3	Q6IBS0
Q12792-3	Q9Z0P5
Q12792-3	Q5RJR2
Q12792-3	B0BMY7
XP_002729610	XP_002729610
XP_002729610	Q86V15-2
XP_002729610	Q9CWL2
XP_002729610	Q8CI82
XP_002729610	Q86V15
J3S6Y1	J3S6Y1
J3S6Y1	F1LTU1
J3S6Y1	Q8WU66
Q86UQ5	Q86UQ5
Q86UQ5	Q86UQ5_VAR_AAP13553
Q3UVY5	Q3UVY5
Q3UVY5	Q63HM2
Q9BTW9-4	Q9BTW9-4
Q9BTW9-4	Q9BTW9
Q9BTW9-4	F1M1D5
Q9BTW9-4	Q8BYA0
Q99062-3	Q99062-3
Q99062-3	Q99062-4
Q99062-3	Q99062
Q99062-3	P40223
P19971-2	P19971-2
P19971-2	Q5FVR2
P19971-2	P19971
P19971-2	Q99N42
Q14318-2	Q14318-2
Q14318-2	Q3B7U9
Q14318-2	O35465
Q14318-2	Q14318
Q14318-2	Q14318-3
Q9H503-2	Q9H503-2
Q9H503-2	D4A728
Q9H503-2	Q9H503
Q9H503-2	Q8BVR0
Q9H503-2	O75531
Q9H503-2	Q9R1T1
Q9H503-2	O54962
F1MCA8	F1MCA8
F1MCA8	P42167
F1MCA8	Q61029
F1MCA8	Q62733
D3ZZY5	D3ZZY5
D3ZZY5	Q9ERV7
D3ZZY5	Q9HB75
D3ZZY5	Q9HB75-2
D3ZZY5	Q9HB75-6
Q16610-4	Q16610-4
Q16610-4	Q16610
Q16610-4	Q62894
Q16610-4	Q61508
Q8NBZ7-2	Q8NBZ7-2
Q8NBZ7-2	Q5PQX0
Q8NBZ7-2	Q8NBZ7
Q8NBZ7-2	Q91XL3
Q96GS6-2	Q96GS6-2
Q96GS6-2	Q6PCB6
Q96GS6-2	Q99JW1
Q96GS6-2	B5DFK7
Q96GS6-2	Q6AY17
Q96GS6-2	Q5VST6
Q96GS6-2	Q7M759
Q96GS6-2	Q8VCV1
Q96GS6-2	Q96GS6
Q96GS6-2	Q5XIJ5
Q9NXG6-3	Q9NXG6-3
Q9NXG6-3	Q9NXG6
Q9NXG6-3	Q8BG58
Q9NXG6-3	D3ZJG3
Q6P4F1-2	Q6P4F1-2
Q6P4F1-2	Q5F2L1
Q6P4F1-2	Q6P4F1
Q6P4F1-2	Q5F2L2
Q6P4F1-2	Q68FV3
Q6P4F1-2	Q495W5
Q6P4F1-2	Q8BHC9
Q9ES75	Q9ES75
Q9ES75	Q80XD8
Q9ES75	Q96NZ9
P59647	P59647
P59647	P97808
P59647	Q96DB9
Q5XHY3	Q5XHY3
Q5XHY3	D3ZXL6
Q5XHY3	Q9D5S1
Q5XHY3	Q99MV2
Q5XHY3	Q8NA77
Q4QQV7	Q4QQV7
Q4QQV7	O95992
Q4QQV7	Q9Z0F5
Q76IC5	Q76IC5
Q76IC5	Q9ESW8
Q76IC5	Q9NXJ5
Q76IC5	A6NFU8
Q76IC5	Q9CWB5
