P03246	P03246
Q2KJD0	Q9UJT0
Q2KJD0	Q6PEY2
Q2KJD0	A6NNZ2
Q2KJD0	Q3ZCJ7
Q2KJD0	M0R8B6
Q2KJD0	Q9NRH3
Q2KJD0	Q8VCK3
Q2KJD0	NP_001099588
XP_001079280	XP_001079280
XP_001079280	Q15361
XP_001079280	Q62187
Q8TCI5	Q8TCI5
Q8TCI5	Q9D9W1
Q96LC9	Q96LC9
Q96LC9	Q91ZE9
Q96LC9	Q8K589
Q9Z0Z1	Q9Z0Z1
Q9Z0Z1	Q99665
Q9Z0Z1	P97378
B1AWI6	B1AWI6
B1AWI6	Q1L6U9
P24549	P24549
P24549	P47895
P24549	NP_001178707
P24549	P0C2X9
P24549	P43353-2
P24549	Q9JHW9
P24549	O35945
P24549	Q64057
P24549	Q8BH00
P24549	Q9DBF1
P24549	Q9H2A2
P24549	P49419
P24549	P00352
P24549	P11883
P24549	P47740
P24549	P30839
P24549	P30837
P24549	P51648
P24549	O75891
P24549	Q8K4D8
P24549	Q571I9
P24549	P13601
P24549	Q5I0C5
P24549	B9EKV4
P24549	P49189-3
P24549	Q9JLJ3
P24549	O75891-3
P24549	Q9JLJ2
P24549	Q8IZ83
P24549	Q9EQ20
P24549	P22102-2
P24549	P49419-2
P24549	Q02252
P24549	P22102
P24549	Q9CZS1
P24549	Q66HF8
P24549	P49189
P24549	Q8BWF0
P24549	Q8K009
P24549	P51649
P24549	Q3SY69
P24549	Q64737
P24549	Q96DP5
P24549	Q62148
P24549	Q63639
P24549	Q9D799
P24549	P47739
P24549	O94788
P24549	P43353
P24549	P51650
P24549	P30838
P24549	Q80VQ0
P24549	P48448
P24549	P51648-2
P24549	Q5XI42
P24549	P11884
P24549	Q3T1L0
P24549	P51977
P24549	Q8CHT0
P24549	Q02252-2
P24549	P30038
P24549	J3QMK6
P24549	G3V918
P24549	E9Q3E1
P24549	P51649-2
P24549	P28037
P24549	P51647
P24549	Q02253
P24549	Q8R0Y6
P24549	P47738
P24549	P05091
P24549	P30038-2
P24549	P49419-4
Q9H7B2	Q9H7B2
Q9H7B2	B0BN82
Q9H7B2	Q9JJ80
P23327	P23327
P23327	Q9QZV4
P23327	Q80W59
Q5QJE6	Q5QJE6
Q5QJE6	Q8R2M2
Q5QJE6	D3ZHM7
Q496Z0	Q496Z0
Q496Z0	Q6IA86-5
Q496Z0	Q91WG4
Q496Z0	Q6IA86
Q496Z0	Q6IA86-6
Q5GH56	Q5GH56
Q5GH56	Q6UX68
Q5GH56	Q5GH64
Q5GH56	Q5GH72
Q5GH56	Q5GH70
Q5GH56	Q5GH62
Q5GH56	Q5GH67
Q5GH56	Q5GH76
Q5GH56	Q5GH57
Q5GH56	E9Q6C8
Q5GH56	Q5GH73
Q5GH56	Q9H6D3
Q5GH56	Q5GH66
Q5GH56	Q8C0T0
Q5GH56	Q5GH59
Q8IYM0	Q8IYM0
Q8IYM0	A6NE01
Q8IYM0	D4ADP4
Q8IYM0	D3Z420
Q8IYM0	XP_001064275
Q8IYM0	Q9D9R9
P83436	P83436
P83436	Q3UM29
P83436	Q3T1G7
B2RX12	B2RX12
B2RX12	F1M3J4
B2RX12	O88269
B2RX12	O15438
B2RX12	Q9R1X5
B2RX12	P34158
B2RX12	P13569-3
B2RX12	E9Q236
B2RX12	O95255
B2RX12	O15440
B2RX12	O15439
B2RX12	Q8R4P9
B2RX12	Q8VI47
B2RX12	P26361
B2RX12	Q5T3U5
B2RX12	Q92887
B2RX12	P13569
B2RX12	D3ZX04
B2RX12	Q09428-2
B2RX12	O15440-2
B2RX12	Q6Y306
B2RX12	Q09429
B2RX12	P61222
B2RX12	P61221
B2RX12	D3ZD23
B2RX12	O60706-2
B2RX12	Q9QYM0
B2RX12	P70170
B2RX12	Q09427
B2RX12	Q9R1S7
B2RX12	Q8CG09
B2RX12	P33527-2
B2RX12	Q80WJ6
B2RX12	O15439-2
B2RX12	O60706
B2RX12	P33527-9
B2RX12	Q09428
B2RX12	Q63563
B2RX12	P33527
B2RX12	O35379
B2RX12	Q63120
B2RX12	Q96J65
B2RX12	Q96J66
B2RX12	B2RUS7
B2RX12	O88563
B2RX12	O15438-4
B2RX12	P13569-2
Q9Y5L2	Q9Y5L2
Q9Y5L2	Q9JLS0
Q3V1D3	Q3V1D3
Q3V1D3	O08739
Q3V1D3	Q01432
Q3V1D3	Q9DBT5
Q3V1D3	Q02356
Q3V1D3	Q01433
Q3V1D3	P23109
Q3V1D3	Q01432-4
Q3V1D3	Q01432-5
Q3V1D3	O09178
Q3V1D3	P10759
Q3V1D3	Q01433-2
P63139	P63139
P63139	P25208
P63139	P63140
P63139	Q01658
P63139	Q91WV0
P63139	Q5XI68
P63139	Q9NRF9
P63139	Q642A5
P63139	Q9JKP7
Q9GZZ8	Q9GZZ8
Q9DA17	Q9DA17
Q9DA17	Q96PP4
Q68CQ4	Q68CQ4
Q68CQ4	Q8BTT6
Q68CQ4	Q5M9G7
P86397	P86397
P56211-2	P56211-2
P56211-2	Q712U5
P56211-2	P56211
P56211-2	P56212
P56211-2	O43768-5
P56211-2	O43768
P56211-2	P60841
P56211-2	P60840
P56211-2	O43768-4
P56211-2	O43768-2
P56211-2	O43768-3
F1M7Z1	F1M7Z1
F1M7Z1	Q8K2D3
F1M7Z1	Q96F86
Q96JG6-3	Q96JG6-3
Q96JG6-3	F1LSG8
Q96JG6-3	Q8CI71
Q96JG6-3	Q96JG6
M5A8F1	M5A8F1
O94901-6	O94901-6
O94901-6	Q5U2W0
O94901-6	O94901-9
O94901-6	Q9UH99-2
O94901-6	Q8BJS4
O94901-6	Q9NPE6
O94901-6	Q9UH99
O94901-6	Q9DA32
O94901-6	Q8TC36
O94901-6	Q5SS91
O94901-6	Q8TAQ9
O94901-6	Q9D666
O94901-6	XP_001076724
O94901-6	O94901
O94901-6	Q9JJF2
O94901-6	O55034
O94901-6	O94901-3
Q96JY0-3	Q96JY0-3
Q96JY0-3	Q96JY0-2
Q96JY0-3	D3ZG86
Q96JY0-3	Q96JY0
Q96JY0-3	Q8BVN9
Q6P2H3-3	Q6P2H3-3
Q6P2H3-3	Q6P2H3-2
Q6P2H3-3	Q5SZL2-4
Q6P2H3-3	Q6P2H3-4
Q6P2H3-3	Q5SZL2
Q6P2H3-3	A0A1W2P884
Q6P2H3-3	A0A0G2JUV7
Q6P2H3-3	Q8BMK0
Q6P2H3-3	Q6P2H3
Q9BW66-2	Q9BW66-2
Q9BW66-2	Q9BW66
Q9BW66-2	Q9D0V8
Q9BW66-2	Q9BW66-3
P09497-2	P09497-2
P09497-2	P09496-2
P09497-2	P09497
P09497-2	P08081
P09497-2	O08585
P09497-2	P09496
P09497-2	Q6IRU5
P09497-2	P04973
P09497-2	P08082
P09497-2	P04975
P28347-2	P28347-2
P28347-2	NP_001185518
P28347-2	Q15561
P28347-2	P28347
P28347-2	P30051
P28347-2	Q62296
P28347-2	F1M665
P28347-2	B5DF69
P28347-2	Q15562-4
P28347-2	Q99594
P28347-2	NP_001091686
P28347-2	P70210
P28347-2	P48301
P28347-2	Q15562
P51816-4	P51816-4
P51816-4	Q9UHB7-2
P51816-4	P51816-2
P51816-4	P51816-3
P51816-4	A0A0G2KA99
P51816-4	P51816-5
P51816-4	O88573
P51816-4	P51825
P51816-4	P51827
P51816-4	P51826
P51816-4	D3ZSX2
P51816-4	P51826-2
P51816-4	Q9ESC8
P51816-4	O55112
P51816-4	Q9UHB7
P51816-4	XP_223161
P51816-4	P51816
P51816-4	Q3UP77
P51816-4	P51825-2
Q9BWL3-5	Q9BWL3-5
Q9BWL3-5	Q9BWL3-4
Q9BWL3-5	Q8R092
Q9BWL3-5	Q9BWL3
Q9BWL3-5	Q5XII8
P80430	P80430
Q499U4	Q499U4
Q499U4	Q60779
Q499U4	O95995
A1L131	A1L131
A1L131	Q9H467
A1L131	Q9CXX9
P61312	P61312
P61312	Q7Z4H4
P61312	Q7TNK8
Q5M868	Q5M868
Q5M868	Q69ZF3
Q5M868	Q9HCG7
Q96K49-2	Q96K49-2
Q96K49-2	D4A017
Q96K49-2	Q8BKU8
Q96K49-2	Q96K49
Q96K49-2	Q8BXN9
Q96K49-2	Q8NBN3
Q96K49-2	D4A7B6
XP_038944711	XP_038944711
XP_038944711	P82932
XP_038944711	P58064
Q91W89	Q91W89
Q91W89	Q9NTJ4-4
Q91W89	P21139
Q91W89	Q9NTJ4
P0CJ72	P0CJ72
P0CJ72	P0CJ71
P0CJ72	Q8IVG9
P0CJ72	P0CJ73
P0CJ72	P0CJ68
P0CJ72	P0CJ76
P0CJ72	P0CJ69
P0CJ72	P0CJ70
P0CJ72	P0DMP1
P0CJ72	P0CJ75
P0CJ72	S4R3P1
P0CJ72	P0CJ74
P0CJ72	S4R3Y5
P0CJ72	P0CJ77
Q69ZB8	Q69ZB8
Q69ZB8	Q9C0B9
Q69ZB8	Q498S6
Q9DCV4	Q9DCV4
Q9DCV4	Q66H15
Q9DCV4	Q96LZ7
Q9DCV4	Q4G069
Q9DCV4	Q96LZ7-2
Q9DCV4	Q96DB5
Q9DCV4	Q498D5
Q9DCV4	Q3UJU9
Q9DCV4	Q8BSE0
Q9DCV4	Q96TC7
Q9NTG7	Q9NTG7
Q9NTG7	Q8BKJ9
Q9NTG7	Q9NRC8
Q9NTG7	Q923E4
Q9NTG7	Q8N6T7
Q9NTG7	P59941
Q9NTG7	Q8IXJ6-2
Q9NTG7	Q5RJQ4
Q9NTG7	Q8K2C6
Q9NTG7	Q68FX9
Q9NTG7	Q9NXA8
Q9NTG7	B2RZ55
Q9NTG7	NP_001026819
Q9NTG7	NP_001099783
Q9NTG7	XP_003753523
Q9NTG7	Q8R104
Q9NTG7	Q8N6T7-2
Q9NTG7	XP_006228735
Q9NTG7	Q8VDQ8-2
Q9NTG7	Q8VDQ8
Q9NTG7	Q9Y6E7
Q9NTG7	Q8IXJ6
Q9NTG7	Q8R216
Q9NTG7	Q96EB6
Q9Y2X3	Q9Y2X3
Q9Y2X3	Q9QZ86
Q9Y2X3	Q6DFW4
Q9Y2X3	Q4KLK7
Q9Y2X3	Q9D6Z1
Q9Y2X3	O00567
O60869-2	O60869-2
O60869-2	P69736
O60869-2	Q9JMG1
O60869-2	O60869
Q5JVF3-2	Q5JVF3-2
Q5JVF3-2	Q5JVF3-4
Q5JVF3-2	Q8BFV2
Q5JVF3-2	Q5JVF3
Q5JVF3-2	F1MAF5
P14618-3	P14618-3
P14618-3	P11980-2
P14618-3	P53657
P14618-3	P52480
P14618-3	P11980
P14618-3	P14618
P14618-3	P12928
P14618-3	P30613-2
P14618-3	P30613
P14618-3	P14618-2
P14618-3	P52480-2
P14618-3	P12928-2
P07954-2	P07954-2
P07954-2	P14408
P07954-2	P07954
P07954-2	P97807
Q9NTJ3-2	Q9NTJ3-2
Q9NTJ3-2	Q8CG47
Q9NTJ3-2	Q9NTJ3
Q9NTJ3-2	F1MAD9
J3QNP2	J3QNP2
J3QNP2	M0R8L5
J3QNP2	P0DKX4
Q5EBL4-2	Q5EBL4-2
Q5EBL4-2	Q99LE1
Q5EBL4-2	Q969X0
Q5EBL4-2	D3ZGA5
Q5EBL4-2	Q6AYA0
Q5EBL4-2	Q9JJC6
Q5EBL4-2	D3ZUQ0
Q5EBL4-2	Q5EBL4
Q5EBL4-2	Q5ND29
Q5EBL4-2	Q96NA2
Q9H9E3-2	Q9H9E3-2
Q9H9E3-2	Q9H9E3
Q9H9E3-2	Q8R1U1
Q9H9E3-2	D3ZZM3
O43502-2	O43502-2
O43502-2	O43502
O43502-2	Q06609
O43502-2	Q924H5
O43502-2	O15315
O43502-2	Q14565
O43502-2	O35719
O43502-2	Q9CXE6
O43502-2	Q61880
O43502-2	NP_001102674
O43502-2	Q08297
O43502-2	Q9CX47
O43502-2	G3V6U0
O43502-2	O43542
O43502-2	O43543
Q9D1G0	Q9D1G0
Q9D1G0	Q2QDE7
Q9D1G0	P49184
Q9D1G0	Q9D7J6
Q9D1G0	Q92874
Q9D1G0	O89107
Q9D1G0	O55070
Q9D1G0	P24855
Q9D1G0	Q13609
Q9D1G0	P49183
Q9D1G0	P21704
XP_001067643	XP_001067643
Q8C3B8	Q8C3B8
Q8C3B8	Q96AA3
P0C5W1	P0C5W1
P0C5W1	P78559
P0C5W1	P15205
P0C5W1	F1N1S2
P0C5W1	Q8C052
P0C5W1	P78559-2
P0C5W1	P34926
P0C5W1	Q9QYR6
P0C5W1	P46821
P0C5W1	P14873
P0C5W1	Q66K74
I3L0S3	I3L0S3
Q6UWT4	Q6UWT4
Q6UWT4	Q3V2D2
P62832	P62832
P62832	P62830
P62832	P62829
Q86W67	Q86W67
Q86W67	Q5XIN5
Q86W67	Q8CDW1
Q86W67	Q497Q6
Q86W67	P0C875
Q5RJS3	Q5RJS3
Q5RJS3	D3Z8Q7
Q5RJS3	Q9Y3D0
Q5RJS3	Q9D187
Q5RJS3	Q9H5X1
Q5RJS3	Q9DCL2
Q9DAA7	Q9DAA7
Q9DAA7	Q5SVJ3
Q811A2	Q811A2
Q811A2	Q10589
Q811A2	Q8R2Q8
Q92748	Q92748
Q92748	Q62264
Q92748	Q9CQ20
Q92748	Q9NPA3
Q92748	Q6P7D5
Q92748	P04143
P0C7W6	P0C7W6
P0C7W6	Q6AXT4
P0C7W6	Q810N9
Q5VWK5	Q5VWK5
Q5VWK5	Q8K4B4
Q9Y2Z9	Q9Y2Z9
Q9Y2Z9	Q68FU7
Q9Y2Z9	Q8R1S0
Q8N8M0	Q8N8M0
Q9BXU2	Q9BXU2
Q9BXU2	Q9BXU3
Q9BXU2	A0A0J9YWL9
Q9BXU2	NP_080745
Q9BXU2	D3ZP85
Q9BXU2	D3YU32
Q9BXU2	A0A0J9YY54
Q9BYJ0	Q9BYJ0
Q5FW52-1	Q5FW52-1
Q5FW52-1	Q5VWP3-1
Q5FW52-1	Q5VWP3
Q5FW52-1	Q5FW52
Q5FW52-1	A0A096MK47
Q6P6T3	Q6P6T3
Q6P6T3	P15261
Q6P6T3	P15260
Q5FVC3	Q5FVC3
Q5FVC3	Q96C11
Q5FVC3	A2AJL3
Q5FVC3	Q96C11-3
Q32PZ7	Q32PZ7
Q32PZ7	F8VQC1
Q32PZ7	O76094
Q5XJY6	Q5XJY6
Q5XJY6	Q8NB91
Q5XJY6	D4A5I2
Q96MC2	Q96MC2
Q96MC2	Q3USS3
Q96MC2	Q5XI65
Q9CXW2	Q9CXW2
Q9CXW2	Q0D2L2
Q9CXW2	P82650
Q3KR99	Q3KR99
Q3KR99	Q923A2
Q3KR99	Q96EA4
Q9UJK0	Q9UJK0
Q9UJK0	NP_001386448
Q9UJK0	Q5HZH2
Q3LXA3	Q3LXA3
Q3LXA3	Q8VC30
Q3LXA3	Q4KLZ6
Q8BM96	Q8BM96
Q8BM96	D4AAI8
Q8BM96	Q96K78
Q9D0B6	Q9D0B6
Q9D0B6	G3V6C3
Q9D0B6	Q9BVG4
A0A663DJA2	A0A663DJA2
Q6P1X6	Q6P1X6
Q6P1X6	Q642A4
Q6P1X6	Q8VE95
Q2KHT3-2	Q2KHT3-2
Q2KHT3-2	A0A0G2KA14
Q2KHT3-2	Q2KHT3
Q2KHT3-2	Q80U30
Q2KHT3-2	Q80U30-3
D4AEP3	D4AEP3
D4AEP3	Q80XQ8
D4AEP3	Q8BGZ2
D4AEP3	D3ZHW1
D4AEP3	Q92567
D4AEP3	A1KXE4
D4AEP3	Q92567-2
D3ZVB0	D3ZVB0
D3ZVB0	Q3TAP4
D3ZVB0	Q2VPB7
Q6AXU0	Q6AXU0
Q6AXU0	D3ZWC2
Q6AXU0	Q9NP55
Q6AXU0	P97361
Q6AXU0	Q63313
Q6AXU0	Q67E05
Q6AXU0	P17213
Q6AXU0	Q9BQP9
Q6AXU0	Q9D9J8
Q6AXU0	Q61805
Q6AXU0	Q8K4I4
Q6AXU0	P18428
Q6AXU0	A0JPN3
Q6AXU0	Q61114
Q6AXU0	Q8TDL5
Q6AXU0	Q9CQX3
A3QPB9	A3QPB9
A3QPB9	Q9ES17
A3QPB9	Q9HBE4
Q642A0	Q642A0
Q642A0	Q9NUG6
Q642A0	P59048
Q5U2T1	Q5U2T1
Q5U2T1	A6NGC4
Q5U2T1	Q99JT6
Q5U2T1	Q8VC26
Q5U2T1	Q96CP7
E9Q2Z6	E9Q2Z6
E9Q2Z6	A0A1B0GVV1
Q2M238	Q2M238
Q2M238	B2GV13
Q2M238	A6NIE6
Q2M238	B2RS91
Q2M238	Q9NYV6
NP_001099941	NP_001099941
NP_001099941	B5DFH4
NP_001099941	O88428
NP_001099941	O95340
NP_001099941	O43252
NP_001099941	Q60967
NP_001099941	O95340-2
B0BN57	B0BN57
B0BN57	Q9BSJ6-2
B0BN57	Q9BSJ6
B0BN57	Q8BFY7
Q6AYC0	Q6AYC0
Q6AYC0	Q8BFT2
Q6AYC0	Q9H6D7
B1WC45	B1WC45
B1WC45	Q62481
B1WC45	Q15906
B1WC45	Q15906-2
Q9NVF7	Q9NVF7
Q9NVF7	Q8BIG4
Q99LI2	Q99LI2
Q99LI2	Q96S66
Q99LI2	Q9WU61
Q6PAL0	Q6PAL0
Q6PAL0	Q5T5X7
Q6PAL0	XP_038955077
Q5FVN1	Q5FVN1
Q5FVN1	O95210
Q5FVN1	Q8C7E7
Q99567	Q99567
Q99567	Q8CEC0
Q99567	O08658
Q5W150	Q5W150
Q6Q759	Q6Q759
Q6Q759	Q5S003
Q9D8U6	Q9D8U6
Q9D8U6	Q8IX19
Q9NX58	Q9NX58
Q9NX58	Q08288
Q9NX58	Q6AYK5
Q8TBJ4	Q8TBJ4
Q8TBJ4	Q5VZY2
Q8TBJ4	Q0VBU9
Q8TBJ4	Q61469-2
Q8TBJ4	Q8BJ52
Q8TBJ4	Q8K593
Q8TBJ4	Q32ZL2
Q8TBJ4	O14495
Q8TBJ4	Q99JY8
Q8TBJ4	Q8VCY8-2
Q8TBJ4	O08564
Q8TBJ4	O43688-2
Q8TBJ4	O14494
Q8TBJ4	Q8VCY8
Q8TBJ4	Q6W5G4
Q8TBJ4	Q96GM1
Q8TBJ4	Q7TME0
Q8TBJ4	Q8BFZ2
Q8TBJ4	Q7Z2D5
Q8TBJ4	Q7TMB0
Q8TBJ4	O14494-2
Q8TBJ4	Q61469
Q8TBJ4	Q96GM1-2
Q8TBJ4	Q7TPB0
Q8TBJ4	Q6T4P5
Q8TBJ4	Q8NEB5
Q8TBJ4	P97544
Q8TBJ4	Q7TMB7
Q8TBJ4	Q3UMZ3
Q8TBJ4	Q6WAY2
Q8TBJ4	Q9DAX2
Q8TBJ4	Q6T4P5-3
Q8TBJ4	O43688
Q8TBJ4	Q32ZL2-2
P97751	P97751
P97751	Q60748
P97751	P47866
P97751	P41586-2
P97751	Q13324
P97751	Q63118
P97751	P41586-4
P97751	P32214
P97751	P49190
P97751	P47872
P97751	Q91V95
P97751	P23811
P97751	P34998
P97751	P70555
P97751	P30083
P97751	P34998-2
P97751	Q5UAW9
P97751	P48546
P97751	Q8C206
P97751	Q60755
P97751	O35659
P97751	Q0P543
P97751	P30988
P97751	Q5FVG1
P97751	P25961
P97751	P30988-1
P97751	P41593
P97751	Q9R1W5
P97751	P35000
P97751	P70205
P97751	Q16602
P97751	P41586
P97751	P32241
P97751	P43219
P97751	O95838
P97751	P32301
P97751	Q5IXF8
P97751	P43220
P97751	Q9Z0W0
P97751	P32082
P97751	Q02643
P97751	P35353
P97751	H7BX37
P97751	Q61606
P97751	Q02644
P97751	P47871
P97751	P41588
P97751	P41587
P97751	P32241-2
P97751	P35347
P97751	Q03431
P97751	P32215
P97751	P30082
Q6ZQQ6	Q6ZQQ6
Q6ZQQ6	Q6ZQQ6-2
Q9CR27	Q9CR27
Q9CR27	Q9Y3C0
Q9CR27	D3ZKX1
Q9H0J4	Q9H0J4
Q9H0J4	E9QMW4
Q9H0J4	Q3V2A7
Q9H0J4	XP_577148
Q9H0J4	A6NNT2
Q6ZT52	Q6ZT52
Q6ZT52	A2AM80
Q6ZT52	Q8BUP8
Q6ZT52	Q8N2R8
Q6ZT52	D4A8D8
A0A8I5KY20	A0A8I5KY20
A0A8I5KY20	Q53HC0
A0A8I5KY20	Q5SUE3
A0A8I5KY20	A0A0G2K1E8
A0A8I5KY20	D3ZBX9
A0A8I5KY20	Q8VDN4
Q9NXF7	Q9NXF7
Q8WVQ1	Q8WVQ1
Q8WVQ1	Q8K4Y7
Q8WVQ1	Q8VCF1
Q96FJ2	Q96FJ2
Q96FJ2	Q9D0M5
Q96FJ2	Q78P75
Q96FJ2	Q9DCM4
Q96FJ2	O96015
Q96FJ2	P63168
Q96FJ2	P63170
Q96FJ2	P63167
Q9H5J8	Q9H5J8
Q9H5J8	Q5M948
Q9H5J8	Q9D4V4
Q9NX62	Q9NX62
Q9NX62	Q9Z1N4
Q9NX62	Q9Z0S1
Q9NX62	O95861
Q9NX62	Q80V26
Q9NX62	D4AD37
Q8N5G2-2	Q8N5G2-2
Q8N5G2-2	Q7TQE6
Q8N5G2-2	Q4V7D3
Q8N5G2-2	Q8N5G2
A0PJX8	A0PJX8
A0PJX8	Q8R115
E5FYH1	E5FYH1
E5FYH1	D3ZUC6
E5FYH1	Q8N9V7
C0J8I2	C0J8I2
Q6UX82	Q6UX82
Q6UX82	Q9D7S0
Q9BTT4	Q9BTT4
Q9BTT4	Q9CXU0
Q9BTT4	D4A7K6
O60739	O60739
O60739	Q9CXU9
O60739	B5DFN1
O60739	P41567
O60739	NP_001099307
O60739	P48024
Q9UGJ1	Q9UGJ1
Q9UGJ1	Q9D4F8
Q9UGJ1	D3ZVR0
O75771-6	O75771-6
O75771-6	O75771
O75771-6	O55230
Q6QAJ8	Q6QAJ8
Q6QAJ8	Q8BP07
Q9D9P2	Q9D9P2
Q9D9P2	D3Z8H9
Q9D9P2	Q8IW40
Q8IU53	Q8IU53
Q8TBM3	Q8TBM3
Q8TBM3	Q93050-3
Q8TBM3	Q920R6
Q8TBM3	P25286
Q8TBM3	Q93050
Q8TBM3	Q2I6B0
Q8TBM3	Q9HBG4
Q8TBM3	Q2I6B1
Q8TBM3	P15920
Q8TBM3	Q13488
Q8TBM3	Q9JHF5
Q8TBM3	Q9Y487
Q8TBM3	D4A1H0
Q8TBM3	Q9Z1G4
Q8QZR0	Q8QZR0
Q8QZR0	Q15035
Q8QZR0	Q924Z5
Q8QZR0	Q91V04
Q8QZR0	Q15629
Q8QZR0	Q8N609
Q8QZR0	Q5XI41
Q8BIX9	Q8BIX9
Q8BIX9	Q6AY47
Q8BIX9	Q9BVA6
Q9P016	Q9P016
Q9P016	Q91YJ3
Q9P016	Q6P3E0
Q3UR70	Q3UR70
Q3UR70	NP_001380910
Q3UR70	Q8WUH2
Q9DAM7	Q9DAM7
Q9DAM7	B2RZ08
Q9DAM7	Q8WUH6
Q96E14	Q96E14
Q96E14	Q3UPE3
Q96E14	D4ACT0
F6QJK4	F6QJK4
F6QJK4	P0DMQ9
Q8K2P1	Q8K2P1
Q8K2P1	D4A8G3
Q8K2P1	Q5BJW5
Q8K2P1	Q9D6I9
Q8K2P1	Q96LR2
Q8K2P1	Q8IV03
O08843	O08843
O08843	O00453
D3ZX01	D3ZX01
D3ZX01	Q3V1Z5
D3ZX01	P62703
D3ZX01	P62702
D3ZX01	P62701
D3ZX01	Q8TD47
D3ZX01	P22090
D3ZX01	NP_001074505
Q9R0I7	Q9R0I7
Q9R0I7	P49750-3
Q9R0I7	P49750
Q9R0I7	D3YWX2
Q9R0I7	XP_234416
Q9R0I7	P49750-1
P0DMB2	P0DMB2
Q8NG41	Q8NG41
Q8NG41	Q8N729
Q8NG41	Q8K4P2
Q8NG41	Q8K4P1
Q8NG41	Q3V2F0
Q8NG41	Q8K1M5
Q4W8E7	Q4W8E7
Q4W8E7	Q9UKB5
Q4W8E7	A2ALI5
Q8BHC4	Q8BHC4
Q8BHC4	Q6AY55
Q8BHC4	Q13057-2
Q8BHC4	Q8WVC6
Q8BHC4	Q9DBL7
Q8BHC4	Q13057
Q8BHC4	Q5XIA5
Q9JIE6	Q9JIE6
Q9JIE6	XP_001067649
Q9JIE6	Q969D9
Q8N4M7	Q8N4M7
